date,daily cases,daily deaths
2020-01-23,1,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,1,0
2020-01-27,1,0
2020-01-28,2,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,1,0
2020-02-04,3,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,1,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,0,0
2020-02-14,1,0
2020-02-15,1,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,10,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,2,0
2020-02-23,3,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,13,0
2020-02-27,2,0
2020-02-28,15,0
2020-02-29,0,0
2020-03-01,5,0
2020-03-02,5,1
2020-03-03,18,2
2020-03-04,16,3
2020-03-05,21,4
2020-03-06,36,2
2020-03-07,67,0
2020-03-08,83,3
2020-03-09,117,4
2020-03-10,119,3
2020-03-11,201,4
2020-03-12,270,5
2020-03-13,245,6
2020-03-14,405,6
2020-03-15,556,7
2020-03-16,674,10
2020-03-17,702,8
2020-03-18,907,23
2020-03-19,1399,26
2020-03-20,2444,45
2020-03-21,4043,50
2020-03-22,5619,65
2020-03-23,6516,83
2020-03-24,8545,98
2020-03-25,10432,121
2020-03-26,10433,206
2020-03-27,14634,269
2020-03-28,16998,299
2020-03-29,17330,417
2020-03-30,21066,530
2020-03-31,18520,418
2020-04-01,21469,650
2020-04-02,24506,936
2020-04-03,26930,1021
2020-04-04,29717,1216
2020-04-05,32318,1391
2020-04-06,35099,1556
2020-04-07,25616,1368
2020-04-08,30916,1526
2020-04-09,30337,2234
2020-04-10,31820,2085
2020-04-11,34699,2120
2020-04-12,33473,2263
2020-04-13,31720,2084
2020-04-14,27143,1681
2020-04-15,25769,1764
2020-04-16,26691,2705
2020-04-17,30033,2752
2020-04-18,31613,2349
2020-04-19,31509,2289
2020-04-20,28398,1951
2020-04-21,25334,1520
2020-04-22,27395,1837
2020-04-23,25514,2672
2020-04-24,28831,2371
2020-04-25,33776,2169
2020-04-26,36741,2132
2020-04-27,34408,1967
2020-04-28,26735,1253
2020-04-29,23197,1442
2020-04-30,24651,2394
2020-05-01,26555,2514
2020-05-02,30357,2210
2020-05-03,33970,1762
2020-05-04,29474,1583
2020-05-05,26140,1331
2020-05-06,21962,1089
2020-05-07,23709,2234
2020-05-08,24506,2708
2020-05-09,28478,1958
2020-05-10,27648,1575
2020-05-11,24868,1454
2020-05-12,20317,932
2020-05-13,17621,982
2020-05-14,22300,1652
2020-05-15,21145,1768
2020-05-16,26962,1738
2020-05-17,26237,1593
2020-05-18,23659,1225
2020-05-19,19014,844
2020-05-20,21827,846
2020-05-21,20977,1520
2020-05-22,23070,1477
2020-05-23,25733,1311
2020-05-24,23799,1288
2020-05-25,22268,1050
2020-05-26,20031,620
2020-05-27,19100,510
2020-05-28,18896,747
2020-05-29,18744,1485
2020-05-30,22512,1200
2020-05-31,24548,1190
2020-06-01,23397,963
2020-06-02,20634,604
2020-06-03,21897,734
2020-06-04,20791,1082
2020-06-05,19987,989
2020-06-06,21616,1008
2020-06-07,28709,1112
2020-06-08,22516,728
2020-06-09,18616,390
2020-06-10,18207,722
2020-06-11,18805,1030
2020-06-12,22852,929
2020-06-13,23202,877
2020-06-14,25493,779
2020-06-15,25334,692
2020-06-16,19130,317
2020-06-17,20117,448
2020-06-18,24885,769
2020-06-19,25655,761
2020-06-20,28059,727
2020-06-21,30836,698
2020-06-22,32025,546
2020-06-23,26379,257
2020-06-24,30466,360
2020-06-25,35060,833
2020-06-26,36989,767
2020-06-27,41173,2466
2020-06-28,45528,633
2020-06-29,42299,511
2020-06-30,39508,271
2020-07-01,39496,347
2020-07-02,48389,1300
2020-07-03,49975,642
2020-07-04,55559,723
2020-07-05,57154,591
2020-07-06,50006,261
2020-07-07,44767,262
2020-07-08,47316,391
2020-07-09,54084,958
2020-07-10,59455,948
2020-07-11,59889,841
2020-07-12,68227,828
2020-07-13,60721,675
2020-07-14,57805,395
2020-07-15,61567,425
2020-07-16,65602,954
2020-07-17,68342,971
2020-07-18,75687,958
2020-07-19,70923,901
2020-07-20,62451,775
2020-07-21,62275,412
2020-07-22,59888,531
2020-07-23,65277,1127
2020-07-24,69739,1136
2020-07-25,70006,1116
2020-07-26,73525,1146
2020-07-27,66776,884
2020-07-28,54217,440
2020-07-29,59181,1696
2020-07-30,63116,1327
2020-07-31,66782,1396
2020-08-01,68948,1261
2020-08-02,69088,1429
2020-08-03,56828,1055
2020-08-04,50794,420
2020-08-05,47484,608
2020-08-06,53549,1356
2020-08-07,53723,1253
2020-08-08,57514,1071
2020-08-09,61157,1356
2020-08-10,55240,966
2020-08-11,48480,539
2020-08-12,47173,537
2020-08-13,53357,1451
2020-08-14,54278,1478
2020-08-15,54061,1213
2020-08-16,59477,1176
2020-08-17,50743,1059
2020-08-18,42137,514
2020-08-19,37523,535
2020-08-20,43233,1349
2020-08-21,43013,1295
2020-08-22,46029,1043
2020-08-23,49029,1161
2020-08-24,45026,950
2020-08-25,32333,446
2020-08-26,40404,504
2020-08-27,39183,1213
2020-08-28,45319,1193
2020-08-29,45610,1126
2020-08-30,46564,1010
2020-08-31,44610,871
2020-09-01,33430,374
2020-09-02,36485,488
2020-09-03,44049,1091
2020-09-04,32444,1076
2020-09-05,46394,1078
2020-09-06,52104,980
2020-09-07,42254,712
2020-09-08,29999,411
2020-09-09,25166,263
2020-09-10,28941,458
2020-09-11,33332,1175
2020-09-12,38060,915
2020-09-13,47568,1227
2020-09-14,39104,701
2020-09-15,33343,399
2020-09-16,36887,450
2020-09-17,39217,1281
2020-09-18,39268,997
2020-09-19,45310,849
2020-09-20,48887,949
2020-09-21,41811,670
2020-09-22,36356,213
2020-09-23,54950,430
2020-09-24,37391,941
2020-09-25,41551,1090
2020-09-26,45202,885
2020-09-27,54581,853
2020-09-28,42697,769
2020-09-29,37298,267
2020-09-30,37360,350
2020-10-01,43697,926
2020-10-02,42058,974
2020-10-03,46418,847
2020-10-04,53580,865
2020-10-05,47779,709
2020-10-06,35063,333
2020-10-07,62412,429
2020-10-08,42862,721
2020-10-09,53017,996
2020-10-10,56383,928
2020-10-11,58962,915
2020-10-12,51648,592
2020-10-13,44783,419
2020-10-14,48016,351
2020-10-15,54394,826
2020-10-16,59853,1009
2020-10-17,65353,793
2020-10-18,70463,891
2020-10-19,52761,678
2020-10-20,47882,387
2020-10-21,65440,517
2020-10-22,60594,929
2020-10-23,64237,1208
2020-10-24,75128,828
2020-10-25,85297,930
2020-10-26,78581,872
2020-10-27,59715,339
2020-10-28,74631,537
2020-10-29,74387,983
2020-10-30,81885,1018
2020-10-31,90657,1004
2020-11-01,99868,968
2020-11-02,84210,838
2020-11-03,74195,428
2020-11-04,94013,540
2020-11-05,92416,1130
2020-11-06,108080,1616
2020-11-07,121333,1108
