date,daily cases,daily deaths,toal cases,total deaths
2020-01-22,1,0,1,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,1,0,1,0
2020-01-26,1,0,1,0
2020-01-27,2,0,2,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,1,0,1,0
2020-02-01,1,0,1,0
2020-02-02,1,0,1,0
2020-02-03,3,0,3,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,1,0,1,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,1,0,1,0
2020-02-12,0,0,0,0
2020-02-13,1,0,1,0
2020-02-14,1,0,1,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,10,0,10,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,2,0,2,0
2020-02-22,3,0,3,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,13,0,13,0
2020-02-26,2,0,2,0
2020-02-27,15,0,15,0
2020-02-28,0,0,0,0
2020-02-29,5,0,5,0
2020-03-01,5,1,5,1
2020-03-02,18,2,18,2
2020-03-03,16,3,16,3
2020-03-04,21,4,21,4
2020-03-05,36,2,36,2
2020-03-06,67,0,67,0
2020-03-07,83,3,83,3
2020-03-08,117,4,117,4
2020-03-09,119,3,119,3
2020-03-10,201,4,201,4
2020-03-11,270,5,270,5
2020-03-12,245,6,245,6
2020-03-13,405,6,405,6
2020-03-14,556,7,556,7
2020-03-15,674,10,674,10
2020-03-16,702,8,702,8
2020-03-17,907,23,907,23
2020-03-18,1399,26,1399,26
2020-03-19,2444,45,2444,45
2020-03-20,4043,50,4043,50
2020-03-21,5619,65,5619,65
2020-03-22,6516,83,6516,83
2020-03-23,8545,98,8545,98
2020-03-24,10432,121,10432,121
2020-03-25,10433,206,10433,206
2020-03-26,14634,269,14634,269
2020-03-27,16998,299,16998,299
2020-03-28,17330,417,17330,417
2020-03-29,21066,530,21066,530
2020-03-30,18520,418,18520,418
2020-03-31,21469,650,21469,650
2020-04-01,24506,936,24506,936
2020-04-02,26930,1021,26930,1021
2020-04-03,29717,1216,29717,1216
2020-04-04,32318,1391,32318,1391
2020-04-05,35099,1556,35099,1556
2020-04-06,25616,1368,25616,1368
2020-04-07,30916,1526,30916,1526
2020-04-08,30337,2234,30337,2234
2020-04-09,31820,2085,31820,2085
2020-04-10,34699,2120,34699,2120
2020-04-11,33473,2263,33473,2263
2020-04-12,31720,2084,31720,2084
2020-04-13,27143,1681,27143,1681
2020-04-14,25769,1764,25769,1764
2020-04-15,26691,2705,26691,2705
2020-04-16,30033,2752,30033,2752
2020-04-17,31613,2349,31613,2349
2020-04-18,31509,2289,31509,2289
2020-04-19,28398,1951,28398,1951
2020-04-20,25334,1520,25334,1520
