date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Kansas,1,0,1,0
2020-03-08,Kansas,1,0,0,0
2020-03-09,Kansas,1,0,0,0
2020-03-10,Kansas,1,0,0,0
2020-03-11,Arkansas,1,0,0,0
2020-03-11,Kansas,1,0,0,0
2020-03-12,Arkansas,6,0,5,0
2020-03-12,Kansas,5,1,-1,1
2020-03-13,Arkansas,7,0,2,-1
2020-03-13,Kansas,6,1,-1,1
2020-03-14,Arkansas,9,0,3,-1
2020-03-14,Kansas,8,1,-1,1
2020-03-15,Arkansas,16,0,8,-1
2020-03-15,Kansas,9,1,-7,1
2020-03-16,Arkansas,22,0,13,-1
2020-03-16,Kansas,11,1,-11,1
2020-03-17,Arkansas,22,0,11,-1
2020-03-17,Kansas,17,1,-5,1
2020-03-18,Arkansas,33,0,16,-1
2020-03-18,Kansas,22,1,-11,1
2020-03-19,Arkansas,62,0,40,-1
2020-03-19,Kansas,35,1,-27,1
2020-03-20,Arkansas,100,0,65,-1
2020-03-20,Kansas,49,1,-51,1
2020-03-21,Arkansas,118,0,69,-1
2020-03-21,Kansas,57,2,-61,2
2020-03-22,Arkansas,165,0,108,-2
2020-03-22,Kansas,66,2,-99,2
2020-03-23,Arkansas,201,0,135,-2
2020-03-23,Kansas,82,2,-119,2
2020-03-24,Arkansas,231,2,149,0
2020-03-24,Kansas,102,3,-129,1
2020-03-25,Arkansas,307,2,205,-1
2020-03-25,Kansas,134,3,-173,1
2020-03-26,Arkansas,350,3,216,0
2020-03-26,Kansas,173,3,-177,0
2020-03-27,Arkansas,385,3,212,0
2020-03-27,Kansas,213,4,-172,1
2020-03-28,Arkansas,409,5,196,1
2020-03-28,Kansas,272,6,-137,1
2020-03-29,Arkansas,449,6,177,0
2020-03-29,Kansas,333,7,-116,1
2020-03-30,Arkansas,508,7,175,0
2020-03-30,Kansas,374,9,-134,2
2020-03-31,Arkansas,564,8,190,-1
2020-03-31,Kansas,435,10,-129,2
2020-04-01,Arkansas,624,10,189,0
2020-04-01,Kansas,489,11,-135,1
2020-04-02,Arkansas,683,12,194,1
2020-04-02,Kansas,554,14,-129,2
2020-04-03,Arkansas,738,12,184,-2
2020-04-03,Kansas,625,19,-113,7
2020-04-04,Arkansas,743,14,118,-5
2020-04-04,Kansas,702,21,-41,7
2020-04-05,Arkansas,853,16,151,-5
2020-04-05,Kansas,769,23,-84,7
2020-04-06,Arkansas,927,16,158,-7
2020-04-06,Kansas,854,25,-73,9
2020-04-07,Arkansas,997,18,143,-7
2020-04-07,Kansas,905,30,-92,12
2020-04-08,Arkansas,1077,18,172,-12
2020-04-08,Kansas,1055,38,-22,20
2020-04-09,Arkansas,1146,21,91,-17
2020-04-09,Kansas,1116,42,-30,21
2020-04-10,Arkansas,1202,24,86,-18
2020-04-10,Kansas,1180,50,-22,26
2020-04-11,Arkansas,1228,25,48,-25
2020-04-11,Kansas,1282,55,54,30
2020-04-12,Arkansas,1280,27,-2,-28
2020-04-12,Kansas,1337,56,57,29
2020-04-13,Arkansas,1475,30,138,-26
2020-04-13,Kansas,1384,63,-91,33
2020-04-14,Arkansas,1498,32,114,-31
2020-04-14,Kansas,1440,69,-58,37
2020-04-15,Arkansas,1599,34,159,-35
2020-04-15,Kansas,1503,76,-96,42
2020-04-16,Arkansas,1620,37,117,-39
2020-04-16,Kansas,1595,80,-25,43
2020-04-17,Arkansas,1695,37,100,-43
2020-04-17,Kansas,1732,84,37,47
2020-04-18,Arkansas,1777,38,45,-46
2020-04-18,Kansas,1820,86,43,48
2020-04-19,Arkansas,1781,39,-39,-47
2020-04-19,Kansas,1897,94,116,55
2020-04-20,Arkansas,1971,42,74,-52
2020-04-20,Kansas,2030,101,59,59
2020-04-21,Arkansas,2262,43,232,-58
2020-04-21,Kansas,2114,107,-148,64
2020-04-22,Arkansas,2392,44,278,-63
2020-04-22,Kansas,2291,111,-101,67
2020-04-23,Arkansas,2599,45,308,-66
2020-04-23,Kansas,2626,112,27,67
2020-04-24,Arkansas,2810,47,184,-65
2020-04-24,Kansas,2842,117,32,70
2020-04-25,Arkansas,2909,48,67,-69
2020-04-25,Kansas,3091,119,182,71
2020-04-26,Arkansas,3001,50,-90,-69
2020-04-26,Kansas,3198,120,197,70
2020-04-27,Arkansas,3069,51,-129,-69
2020-04-27,Kansas,3407,126,338,75
2020-04-28,Arkansas,3127,57,-280,-69
2020-04-28,Kansas,3601,127,474,70
2020-04-29,Arkansas,3207,59,-394,-68
2020-04-29,Kansas,3811,132,604,73
2020-04-30,Arkansas,3281,61,-530,-71
2020-04-30,Kansas,4305,133,1024,72
2020-05-01,Arkansas,3310,64,-995,-69
2020-05-01,Kansas,4510,136,1200,72
2020-05-02,Arkansas,3372,72,-1138,-64
2020-05-02,Kansas,4863,140,1491,68
2020-05-03,Arkansas,3431,76,-1432,-64
2020-05-03,Kansas,5177,142,1746,66
2020-05-04,Arkansas,3469,80,-1708,-62
2020-05-04,Kansas,5385,154,1916,74
2020-05-05,Arkansas,3525,83,-1860,-71
2020-05-05,Kansas,5627,160,2102,77
2020-05-06,Arkansas,3611,87,-2016,-73
2020-05-06,Kansas,5893,163,2282,76
2020-05-07,Arkansas,3694,88,-2199,-75
2020-05-07,Kansas,6240,164,2546,76
2020-05-08,Arkansas,3747,88,-2493,-76
2020-05-08,Kansas,6751,167,3004,79
2020-05-09,Arkansas,3747,88,-3004,-79
2020-05-09,Kansas,6923,172,3176,84
2020-05-10,Arkansas,4012,91,-2911,-81
2020-05-10,Kansas,7045,172,3033,81
2020-05-11,Arkansas,4043,94,-3002,-78
2020-05-11,Kansas,7161,174,3118,80
2020-05-12,Arkansas,4164,95,-2997,-79
2020-05-12,Kansas,7352,178,3188,83
2020-05-13,Arkansas,4236,97,-3116,-81
2020-05-13,Kansas,7552,179,3316,82
2020-05-14,Arkansas,4366,98,-3186,-81
2020-05-14,Kansas,7668,181,3302,83
2020-05-15,Arkansas,4463,98,-3205,-83
2020-05-15,Kansas,8006,187,3543,89
2020-05-16,Arkansas,4578,98,-3428,-89
2020-05-16,Kansas,8059,189,3481,91
2020-05-17,Arkansas,4759,98,-3300,-91
2020-05-17,Kansas,8066,189,3307,91
2020-05-18,Arkansas,4813,100,-3253,-89
2020-05-18,Kansas,8439,190,3626,90
2020-05-19,Arkansas,4923,102,-3516,-88
2020-05-19,Kansas,8488,193,3565,91
2020-05-20,Arkansas,5003,107,-3485,-86
2020-05-20,Kansas,8661,197,3658,90
2020-05-21,Arkansas,5458,110,-3203,-87
2020-05-21,Kansas,8771,199,3313,89
2020-05-22,Arkansas,5612,113,-3159,-86
2020-05-22,Kansas,9068,200,3456,87
2020-05-23,Arkansas,5775,115,-3293,-85
2020-05-23,Kansas,9119,200,3344,85
2020-05-24,Arkansas,5922,116,-3197,-84
2020-05-24,Kansas,9135,200,3213,84
2020-05-25,Arkansas,6029,117,-3106,-83
2020-05-25,Kansas,9272,201,3243,84
2020-05-26,Arkansas,6180,119,-3092,-82
2020-05-26,Kansas,9352,204,3172,85
2020-05-27,Arkansas,6277,120,-3075,-84
2020-05-27,Kansas,9453,207,3176,87
2020-05-28,Arkansas,6538,125,-2915,-82
2020-05-28,Kansas,9513,209,2975,84
2020-05-29,Arkansas,6777,132,-2736,-77
2020-05-29,Kansas,9826,209,3049,77
2020-05-30,Arkansas,7013,133,-2813,-76
2020-05-30,Kansas,9847,209,2834,76
