date,state,total cases,total deaths,new cases,new deaths
2020-02-12,Texas,1,0,1,0
2020-02-13,Texas,2,0,1,0
2020-02-14,Texas,2,0,0,0
2020-02-15,Texas,2,0,0,0
2020-02-16,Texas,2,0,0,0
2020-02-17,Texas,2,0,0,0
2020-02-18,Texas,2,0,0,0
2020-02-19,Texas,2,0,0,0
2020-02-20,Texas,2,0,0,0
2020-02-21,Texas,4,0,2,0
2020-02-22,Texas,4,0,0,0
2020-02-23,Texas,4,0,0,0
2020-02-24,Texas,10,0,6,0
2020-02-25,Texas,10,0,0,0
2020-02-26,Texas,10,0,0,0
2020-02-27,Texas,10,0,0,0
2020-02-28,Texas,11,0,1,0
2020-02-29,Texas,11,0,0,0
2020-03-01,Texas,11,0,0,0
2020-03-02,Texas,11,0,0,0
2020-03-03,Texas,11,0,0,0
2020-03-04,Texas,12,0,1,0
2020-03-05,Texas,16,0,4,0
2020-03-06,Texas,19,0,3,0
2020-03-07,Texas,19,0,0,0
2020-03-08,Texas,23,0,4,0
2020-03-09,Texas,24,0,1,0
2020-03-10,Texas,31,0,7,0
2020-03-11,Texas,33,0,2,0
2020-03-12,Texas,41,0,8,0
2020-03-13,Texas,58,0,17,0
2020-03-14,Texas,69,0,11,0
2020-03-15,Texas,80,0,11,0
2020-03-16,Texas,87,1,7,1
2020-03-17,Texas,106,1,19,0
2020-03-18,Texas,166,2,60,1
2020-03-19,Texas,248,4,82,2
2020-03-20,Texas,386,5,138,1
2020-03-21,Texas,547,5,161,0
2020-03-22,Texas,639,7,92,2
2020-03-23,Texas,728,7,89,0
2020-03-24,Texas,857,11,129,4
2020-03-25,Texas,1132,13,275,2
2020-03-26,Texas,1542,21,410,8
2020-03-27,Texas,1971,25,429,4
2020-03-28,Texas,2381,30,410,5
2020-03-29,Texas,2722,35,341,5
2020-03-30,Texas,3065,46,343,11
2020-03-31,Texas,3588,57,523,11
2020-04-01,Texas,4402,65,814,8
2020-04-02,Texas,4952,80,550,15
2020-04-03,Texas,5773,98,821,18
2020-04-04,Texas,6566,124,793,26
2020-04-05,Texas,7117,136,551,12
2020-04-06,Texas,8150,159,1033,23
2020-04-07,Texas,8968,177,818,18
2020-04-08,Texas,9897,195,929,18
2020-04-09,Texas,11372,228,1475,33
2020-04-10,Texas,12291,249,919,21
2020-04-11,Texas,13208,265,917,16
2020-04-12,Texas,13776,288,568,23
2020-04-13,Texas,14487,320,711,32
2020-04-14,Texas,15303,365,816,45
2020-04-15,Texas,16106,395,803,30
2020-04-16,Texas,16928,428,822,33
2020-04-17,Texas,18131,461,1203,33
2020-04-18,Texas,18927,487,796,26
2020-04-19,Texas,19441,503,514,16
2020-04-20,Texas,20035,523,594,20
2020-04-21,Texas,20949,552,914,29
2020-04-22,Texas,21769,571,820,19
2020-04-23,Texas,22706,601,937,30
2020-04-24,Texas,23650,625,944,24
2020-04-25,Texas,24494,662,844,37
2020-04-26,Texas,25209,676,715,14
2020-04-27,Texas,25963,699,754,23
2020-04-28,Texas,26868,738,905,39
2020-04-29,Texas,27839,776,971,38
2020-04-30,Texas,29072,828,1233,52
2020-05-01,Texas,30342,853,1270,25
2020-05-02,Texas,31433,875,1091,22
2020-05-03,Texas,32299,890,866,15
2020-05-04,Texas,33134,914,835,24
2020-05-05,Texas,34286,955,1152,41
2020-05-06,Texas,35441,985,1155,30
2020-05-07,Texas,36682,1016,1241,31
2020-05-08,Texas,37943,1059,1261,43
2020-05-09,Texas,38849,1086,906,27
2020-05-10,Texas,40037,1110,1188,24
2020-05-11,Texas,40988,1137,951,27
2020-05-12,Texas,42348,1169,1360,32
2020-05-13,Texas,43822,1205,1474,36
2020-05-14,Texas,45169,1256,1347,51
2020-05-15,Texas,46987,1300,1818,44
2020-05-16,Texas,47866,1330,879,30
2020-05-17,Texas,48828,1356,962,26
2020-05-18,Texas,49788,1362,960,6
2020-05-19,Texas,51080,1405,1292,43
2020-05-20,Texas,52369,1443,1289,38
2020-05-21,Texas,53441,1480,1072,37
2020-05-22,Texas,54369,1498,928,18
2020-05-23,Texas,55451,1522,1082,24
2020-05-24,Texas,56050,1533,599,11
2020-05-25,Texas,56490,1536,440,3
2020-05-26,Texas,57573,1552,1083,16
2020-05-27,Texas,59105,1598,1532,46
