date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Virginia,1,0,1,0
2020-03-08,Virginia,2,0,1,0
2020-03-09,Virginia,5,0,3,0
2020-03-10,Virginia,8,0,3,0
2020-03-11,Virginia,10,0,2,0
2020-03-12,Virginia,17,0,7,0
2020-03-13,Virginia,30,0,13,0
2020-03-14,Virginia,42,1,12,1
2020-03-15,Virginia,45,1,3,0
2020-03-16,Virginia,51,1,6,0
2020-03-17,Virginia,67,2,16,1
2020-03-17,West Virginia,1,0,-66,-2
2020-03-18,Virginia,78,2,77,2
2020-03-18,West Virginia,2,0,-76,-2
2020-03-19,Virginia,94,2,92,2
2020-03-19,West Virginia,5,0,-89,-2
2020-03-20,Virginia,115,2,110,2
2020-03-20,West Virginia,8,0,-107,-2
2020-03-21,Virginia,152,3,144,3
2020-03-21,West Virginia,12,0,-140,-3
2020-03-22,Virginia,219,6,207,6
2020-03-22,West Virginia,16,0,-203,-6
2020-03-23,Virginia,254,6,238,6
2020-03-23,West Virginia,16,0,-238,-6
2020-03-24,Virginia,291,7,275,7
2020-03-24,West Virginia,39,0,-252,-7
2020-03-25,Virginia,390,9,351,9
2020-03-25,West Virginia,51,0,-339,-9
2020-03-26,Virginia,603,14,552,14
2020-03-26,West Virginia,76,0,-527,-14
2020-03-27,Virginia,605,14,529,14
2020-03-27,West Virginia,96,0,-509,-14
2020-03-28,Virginia,739,17,643,17
2020-03-28,West Virginia,113,0,-626,-17
2020-03-29,Virginia,889,22,776,22
2020-03-29,West Virginia,124,1,-765,-21
2020-03-30,Virginia,1020,26,896,25
2020-03-30,West Virginia,145,1,-875,-25
2020-03-31,Virginia,1249,27,1104,26
2020-03-31,West Virginia,162,1,-1087,-26
2020-04-01,Virginia,1511,18,1349,17
2020-04-01,West Virginia,191,2,-1320,-16
2020-04-02,Virginia,1706,18,1515,16
2020-04-02,West Virginia,217,2,-1489,-16
2020-04-03,Virginia,2011,46,1794,44
2020-04-03,West Virginia,242,2,-1769,-44
2020-04-04,Virginia,2408,52,2166,50
2020-04-04,West Virginia,282,2,-2126,-50
2020-04-05,Virginia,2636,52,2354,50
2020-04-05,West Virginia,325,3,-2311,-49
2020-04-06,Virginia,2877,54,2552,51
2020-04-06,West Virginia,347,4,-2530,-50
2020-04-07,Virginia,3332,69,2985,65
2020-04-07,West Virginia,413,4,-2919,-65
2020-04-08,Virginia,3644,60,3231,56
2020-04-08,West Virginia,483,4,-3161,-56
2020-04-09,Virginia,4041,109,3558,105
2020-04-09,West Virginia,524,5,-3517,-104
2020-04-10,Virginia,4509,121,3985,116
2020-04-10,West Virginia,537,5,-3972,-116
2020-04-11,Virginia,5076,130,4539,125
2020-04-11,West Virginia,593,6,-4483,-124
2020-04-12,Virginia,5273,141,4680,135
2020-04-12,West Virginia,615,8,-4658,-133
2020-04-13,Virginia,5746,149,5131,141
2020-04-13,West Virginia,638,9,-5108,-140
2020-04-14,Virginia,6173,154,5535,145
2020-04-14,West Virginia,697,10,-5476,-144
2020-04-15,Virginia,6502,195,5805,185
2020-04-15,West Virginia,725,12,-5777,-183
2020-04-16,Virginia,6891,208,6166,196
2020-04-16,West Virginia,739,13,-6152,-195
2020-04-17,Virginia,7492,238,6753,225
2020-04-17,West Virginia,776,16,-6716,-222
2020-04-18,Virginia,8053,258,7277,242
2020-04-18,West Virginia,825,18,-7228,-240
2020-04-19,Virginia,8536,277,7711,259
2020-04-19,West Virginia,890,20,-7646,-257
2020-04-20,Virginia,8989,300,8099,280
2020-04-20,West Virginia,908,26,-8081,-274
2020-04-21,Virginia,9629,325,8721,299
2020-04-21,West Virginia,929,26,-8700,-299
2020-04-22,Virginia,10265,349,9336,323
2020-04-22,West Virginia,939,29,-9326,-320
2020-04-23,Virginia,10999,375,10060,346
2020-04-23,West Virginia,981,31,-10018,-344
2020-04-24,Virginia,11595,413,10614,382
2020-04-24,West Virginia,1010,32,-10585,-381
2020-04-25,Virginia,12365,436,11355,404
2020-04-25,West Virginia,1025,33,-11340,-403
2020-04-26,Virginia,12969,448,11944,415
2020-04-26,West Virginia,1054,34,-11915,-414
