date,state,total doses,first dose,second dose
2021-01-12,Federated States of Micronesia,414,414,0
2021-01-13,Federated States of Micronesia,555,555,0
2021-01-14,Federated States of Micronesia,605,604,1
2021-01-15,Federated States of Micronesia,694,692,2
2021-01-16,Federated States of Micronesia,879,877,2
2021-01-17,Federated States of Micronesia,1065,1063,2
2021-01-18,Federated States of Micronesia,1250,1248,2
2021-01-19,Federated States of Micronesia,1436,1434,2
2021-01-20,Federated States of Micronesia,1756,1753,3
2021-01-21,Federated States of Micronesia,2087,2084,3
2021-01-22,Federated States of Micronesia,2514,2511,3
2021-01-23,Federated States of Micronesia,2752,2749,3
2021-01-24,Federated States of Micronesia,2752,2749,3
2021-01-25,Federated States of Micronesia,2758,2755,3
2021-01-26,Federated States of Micronesia,2977,2973,4
2021-01-27,Federated States of Micronesia,3214,3210,4
2021-01-28,Federated States of Micronesia,3475,3471,4
2021-01-29,Federated States of Micronesia,3938,3933,5
2021-01-30,Federated States of Micronesia,3938,3933,5
2021-01-31,Federated States of Micronesia,3938,3933,5
2021-02-01,Federated States of Micronesia,5083,5068,15
2021-02-02,Federated States of Micronesia,5699,5683,16
2021-02-03,Federated States of Micronesia,6227,6210,17
2021-02-04,Federated States of Micronesia,6672,6646,26
2021-02-05,Federated States of Micronesia,6978,6943,35
2021-02-06,Federated States of Micronesia,7308,7230,78
2021-02-07,Federated States of Micronesia,7388,7309,79
2021-02-08,Federated States of Micronesia,7422,7310,112
2021-02-09,Federated States of Micronesia,7698,7550,148
2021-02-10,Federated States of Micronesia,7990,7744,246
2021-02-11,Federated States of Micronesia,8337,7991,346
2021-02-12,Federated States of Micronesia,8723,8270,453
2021-02-13,Federated States of Micronesia,9201,8434,767
2021-02-14,Federated States of Micronesia,9381,8495,886
2021-02-15,Federated States of Micronesia,9663,8660,1003
2021-02-16,Federated States of Micronesia,9946,8825,1121
2021-02-17,Federated States of Micronesia,10567,9118,1449
2021-02-18,Federated States of Micronesia,11082,9321,1761
2021-02-19,Federated States of Micronesia,11538,9468,2070
2021-02-20,Federated States of Micronesia,11538,9468,2070
2021-02-21,Federated States of Micronesia,12140,9715,2425
2021-02-22,Federated States of Micronesia,12274,9820,2454
2021-02-23,Federated States of Micronesia,12275,9821,2454
2021-02-24,Federated States of Micronesia,13032,10159,2873
2021-02-25,Federated States of Micronesia,13353,10306,3047
2021-02-26,Federated States of Micronesia,13855,10414,3441
2021-02-27,Federated States of Micronesia,14356,10599,3757
2021-02-28,Federated States of Micronesia,14753,10619,4134
2021-03-01,Federated States of Micronesia,15062,10628,4434
2021-03-02,Federated States of Micronesia,15743,10791,4952
2021-03-03,Federated States of Micronesia,16227,10879,5348
2021-03-04,Federated States of Micronesia,16617,10928,5689
2021-03-05,Federated States of Micronesia,17138,11128,6010
2021-03-06,Federated States of Micronesia,17664,11290,6374
2021-03-07,Federated States of Micronesia,17785,11360,6425
2021-03-08,Federated States of Micronesia,17786,11361,6425
2021-03-09,Federated States of Micronesia,18176,11506,6670
2021-03-10,Federated States of Micronesia,18469,11612,6857
2021-03-11,Federated States of Micronesia,18734,11713,7021
2021-03-12,Federated States of Micronesia,19131,11870,7261
2021-03-13,Federated States of Micronesia,19621,12162,7459
2021-03-14,Federated States of Micronesia,19837,12326,7511
