date,state,total doses,first dose,second dose
2021-01-12,Indian Health Svc,16341,16105.0,236.0
2021-01-13,Indian Health Svc,17563,17240.0,323.0
2021-01-14,Indian Health Svc,75839,69313.0,6526.5
2021-01-15,Indian Health Svc,90039,77309.0,12730.0
2021-01-16,Indian Health Svc,93448,80564.0,12884.5
2021-01-17,Indian Health Svc,96858,83819.0,13039.0
2021-01-18,Indian Health Svc,100267,87074.0,13193.5
2021-01-19,Indian Health Svc,103677,90329.0,13348.0
2021-01-20,Indian Health Svc,108509,93635.0,14874.0
2021-01-21,Indian Health Svc,116782,99004.0,17778.0
2021-01-22,Indian Health Svc,122897,103912.0,18985.0
2021-01-23,Indian Health Svc,142438,120761.0,21677.0
2021-01-24,Indian Health Svc,152486,128843.0,23643.0
2021-01-25,Indian Health Svc,154230,130085.0,24145.0
2021-01-26,Indian Health Svc,156983,131481.0,25502.0
2021-01-27,Indian Health Svc,164451,135456.0,28995.0
2021-01-28,Indian Health Svc,178553,144908.0,33645.0
2021-01-29,Indian Health Svc,189111,152563.0,36548.0
2021-01-30,Indian Health Svc,192956,155066.0,37890.0
2021-01-31,Indian Health Svc,206095,165493.0,40602.0
2021-02-01,Indian Health Svc,207007,166090.0,40917.0
2021-02-02,Indian Health Svc,210525,168022.0,42503.0
2021-02-03,Indian Health Svc,220415,174664.0,45751.0
2021-02-04,Indian Health Svc,234859,182111.0,52748.0
2021-02-05,Indian Health Svc,240588,185622.0,54966.0
2021-02-06,Indian Health Svc,271941,204056.0,67885.0
2021-02-07,Indian Health Svc,277886,208409.0,69477.0
2021-02-08,Indian Health Svc,287156,214822.0,72334.0
2021-02-09,Indian Health Svc,293192,219484.0,73708.0
2021-02-10,Indian Health Svc,302119,224869.0,77250.0
2021-02-11,Indian Health Svc,320584,236970.0,83614.0
2021-02-12,Indian Health Svc,341450,251445.0,90005.0
2021-02-13,Indian Health Svc,357029,261997.0,95032.0
2021-02-14,Indian Health Svc,372790,273379.0,99411.0
2021-02-15,Indian Health Svc,376096,276013.0,100083.5
2021-02-16,Indian Health Svc,379403,278647.0,100756.0
2021-02-17,Indian Health Svc,384951,282359.0,102592.0
2021-02-18,Indian Health Svc,395631,289605.0,106026.0
2021-02-19,Indian Health Svc,401153,292789.0,108364.0
2021-02-20,Indian Health Svc,406185,295515.0,110670.0
2021-02-21,Indian Health Svc,420133,304986.0,115147.0
2021-02-22,Indian Health Svc,435961,314387.0,121574.0
2021-02-23,Indian Health Svc,449440,323323.0,126117.0
2021-02-24,Indian Health Svc,462683,331324.0,131359.0
2021-02-25,Indian Health Svc,482770,342938.0,139832.0
2021-02-26,Indian Health Svc,510483,358249.0,152234.0
2021-02-27,Indian Health Svc,531178,370073.0,161105.0
2021-02-28,Indian Health Svc,547635,380562.0,167073.0
2021-03-01,Indian Health Svc,563236,388629.0,174607.0
2021-03-02,Indian Health Svc,571684,392515.0,179169.0
2021-03-03,Indian Health Svc,582211,398016.0,184195.0
2021-03-04,Indian Health Svc,597266,407135.0,190131.0
2021-03-05,Indian Health Svc,614665,416618.0,198047.0
2021-03-06,Indian Health Svc,636377,427332.0,209045.0
2021-03-07,Indian Health Svc,649122,434800.0,214322.0
2021-03-08,Indian Health Svc,660135,439930.0,220205.0
2021-03-09,Indian Health Svc,663641,442180.0,221461.0
2021-03-10,Indian Health Svc,678405,449268.0,229137.0
2021-03-11,Indian Health Svc,691910,457232.0,234678.0
2021-03-12,Indian Health Svc,710301,466856.0,243445.0
2021-03-13,Indian Health Svc,728457,476051.0,252406.0
2021-03-14,Indian Health Svc,741348,482152.0,259196.0
2021-03-15,Indian Health Svc,752669,488026.0,264643.0
2021-03-16,Indian Health Svc,764191,493682.0,270509.0
2021-03-17,Indian Health Svc,777867,502449.0,275418.0
