date,state,total doses,first dose,second dose
2021-01-12,Iowa,98068,91969.0,6099.0
2021-01-13,Iowa,111462,101859.0,9603.0
2021-01-14,Iowa,110977,100805.0,10172.5
2021-01-15,Iowa,118798,108056.0,10742.0
2021-01-16,Iowa,124766,113552.5,11213.75
2021-01-17,Iowa,130734,119049.0,11685.5
2021-01-18,Iowa,136702,124545.5,12157.25
2021-01-19,Iowa,142671,130042.0,12629.0
2021-01-20,Iowa,147523,133528.0,13995.0
2021-01-21,Iowa,156360,139500.0,16860.0
2021-01-22,Iowa,168071,145642.0,22429.0
2021-01-23,Iowa,177571,151145.0,26426.0
2021-01-24,Iowa,188584,157635.0,30949.0
2021-01-25,Iowa,193594,161445.0,32149.0
2021-01-26,Iowa,195342,162795.0,32547.0
2021-01-27,Iowa,201533,165466.0,36067.0
2021-01-28,Iowa,209818,169341.0,40477.0
2021-01-29,Iowa,221440,174655.0,46785.0
2021-01-30,Iowa,234861,182537.0,52324.0
2021-01-31,Iowa,249056,190689.0,58367.0
2021-02-01,Iowa,254268,194009.0,60259.0
2021-02-02,Iowa,256319,195234.0,61085.0
2021-02-03,Iowa,263476,199242.0,64234.0
2021-02-04,Iowa,275917,206516.0,69401.0
2021-02-05,Iowa,289945,215693.0,74252.0
2021-02-06,Iowa,305077,224437.0,80640.0
2021-02-07,Iowa,324927,237554.0,87373.0
2021-02-08,Iowa,341855,252349.0,89506.0
2021-02-09,Iowa,347984,257459.0,90525.0
2021-02-10,Iowa,364624,268974.0,95650.0
2021-02-11,Iowa,382582,282596.0,99986.0
2021-02-12,Iowa,403654,299032.0,104622.0
2021-02-13,Iowa,427511,317851.0,109660.0
2021-02-14,Iowa,451178,335771.0,115407.0
2021-02-15,Iowa,465672,348036.0,117636.0
2021-02-16,Iowa,480166,360301.0,119865.0
2021-02-17,Iowa,489868,367577.0,122291.0
2021-02-18,Iowa,501959,377848.0,124111.0
2021-02-19,Iowa,546921,411926.0,134995.0
2021-02-20,Iowa,571533,430429.0,141104.0
2021-02-21,Iowa,593487,445872.0,147615.0
2021-02-22,Iowa,610792,458634.0,152158.0
2021-02-23,Iowa,614956,461621.0,153335.0
2021-02-24,Iowa,622023,466702.0,155321.0
2021-02-25,Iowa,631514,473529.0,157985.0
2021-02-26,Iowa,654566,491323.0,163243.0
2021-02-27,Iowa,684873,515659.0,169214.0
2021-02-28,Iowa,713327,534690.0,178637.0
2021-03-01,Iowa,735008,546840.0,188168.0
2021-03-02,Iowa,741042,550827.0,190215.0
2021-03-03,Iowa,754117,557426.0,196691.0
2021-03-04,Iowa,773617,567609.0,206008.0
2021-03-05,Iowa,801498,582004.0,219494.0
2021-03-06,Iowa,860518,607257.0,253261.0
2021-03-07,Iowa,905583,631178.0,274405.0
2021-03-08,Iowa,952336,647648.0,304688.0
2021-03-09,Iowa,966888,653454.0,313434.0
2021-03-10,Iowa,986527,663400.0,323127.0
2021-03-11,Iowa,1019896,680387.0,339509.0
2021-03-12,Iowa,1058793,699106.0,359687.0
2021-03-13,Iowa,1141971,734296.0,407675.0
2021-03-14,Iowa,1142154,734394.0,407760.0
2021-03-15,Iowa,1174516,751143.0,423373.0
2021-03-16,Iowa,1184745,755782.0,428963.0
2021-03-17,Iowa,1186028,756625.0,429403.0
