date,state,total doses,first dose,second dose
2021-01-12,Kansas,63565,53988,9577
2021-01-13,Kansas,70947,58477,12470
2021-01-14,Kansas,90573,77590,12983
2021-01-15,Kansas,96789,83293,13496
2021-01-16,Kansas,101947,87925,14022
2021-01-17,Kansas,107107,92558,14549
2021-01-18,Kansas,112266,97191,15075
2021-01-19,Kansas,117426,101824,15602
2021-01-20,Kansas,121692,105679,16013
2021-01-21,Kansas,129337,111907,17430
2021-01-22,Kansas,135894,116569,19325
2021-01-23,Kansas,143696,122813,20883
2021-01-24,Kansas,150027,127417,22610
2021-01-25,Kansas,153496,129861,23635
2021-01-26,Kansas,157502,132153,25349
2021-01-27,Kansas,167142,140685,26457
2021-01-28,Kansas,188965,157536,31429
2021-01-29,Kansas,189202,157720,31482
2021-01-30,Kansas,205081,168343,36738
2021-01-31,Kansas,219909,180156,39753
2021-02-01,Kansas,225332,183035,42297
2021-02-02,Kansas,229485,185065,44420
2021-02-03,Kansas,239420,192026,47394
2021-02-04,Kansas,249674,198352,51322
2021-02-05,Kansas,261831,206997,54834
2021-02-06,Kansas,278373,218170,60203
2021-02-07,Kansas,294333,228774,65559
2021-02-08,Kansas,301140,232575,68565
2021-02-09,Kansas,303609,233494,70115
2021-02-10,Kansas,317688,241127,76561
2021-02-11,Kansas,330927,248979,81948
2021-02-12,Kansas,347929,261332,86597
2021-02-13,Kansas,365007,273430,91577
2021-02-14,Kansas,387072,287680,99392
2021-02-15,Kansas,390699,289703,100996
2021-02-16,Kansas,394327,291726,102601
2021-02-17,Kansas,402199,295950,106249
2021-02-18,Kansas,414816,302165,112651
2021-02-19,Kansas,462726,334112,128614
2021-02-20,Kansas,484730,345965,138765
2021-02-21,Kansas,505279,356901,148378
2021-02-22,Kansas,543063,379563,163500
2021-02-23,Kansas,546303,381430,164873
2021-02-24,Kansas,560055,388418,171637
2021-02-25,Kansas,572018,394141,177877
2021-02-26,Kansas,590972,405241,185731
2021-02-27,Kansas,614016,416368,197648
2021-02-28,Kansas,639568,430237,209331
2021-03-01,Kansas,652223,439896,212327
2021-03-02,Kansas,660782,444176,216606
2021-03-03,Kansas,674778,451969,222809
2021-03-04,Kansas,691312,462106,229206
2021-03-05,Kansas,713551,475698,237853
2021-03-06,Kansas,738720,491746,246974
2021-03-07,Kansas,765860,508326,257534
2021-03-08,Kansas,777005,515054,261951
2021-03-09,Kansas,786362,521147,265215
2021-03-10,Kansas,805289,532078,273211
2021-03-11,Kansas,833288,548492,284796
2021-03-12,Kansas,886401,582831,303570
2021-03-13,Kansas,892178,586038,306140
2021-03-14,Kansas,941475,618089,323386
2021-03-15,Kansas,953233,623934,329299
2021-03-16,Kansas,962767,628555,334212
2021-03-17,Kansas,978361,638421,339940
2021-03-18,Kansas,1007635,659314,348321
2021-03-19,Kansas,1047460,686025,361435
2021-03-20,Kansas,1087425,713468,373957
2021-03-21,Kansas,1125936,737576,388360
2021-03-22,Kansas,1136205,742985,393220
2021-03-23,Kansas,1144976,747131,397845
2021-03-24,Kansas,1172588,762289,410299
2021-03-25,Kansas,1199862,779552,420310
2021-03-26,Kansas,1231864,800279,431585
2021-03-27,Kansas,1282187,829687,452500
2021-03-28,Kansas,1317794,846744,471050
2021-03-29,Kansas,1331204,854185,477019
2021-03-30,Kansas,1340587,859214,481373
