date,state,total doses,first dose,second dose
2021-01-12,Louisiana,135336,117022.0,18314.0
2021-01-13,Louisiana,148712,127078.0,21634.0
2021-01-14,Louisiana,175089,149064.0,26025.0
2021-01-15,Louisiana,197609,167193.0,30416.0
2021-01-16,Louisiana,211975,180672.0,31303.75
2021-01-17,Louisiana,226342,194151.0,32191.5
2021-01-18,Louisiana,240709,207630.0,33079.25
2021-01-19,Louisiana,255076,221109.0,33967.0
2021-01-20,Louisiana,263880,228831.0,35049.0
2021-01-21,Louisiana,278857,240762.0,38095.0
2021-01-22,Louisiana,297055,256670.0,40385.0
2021-01-23,Louisiana,314418,272630.0,41788.0
2021-01-24,Louisiana,333475,290955.0,42520.0
2021-01-25,Louisiana,340835,297684.0,43151.0
2021-01-26,Louisiana,345063,301874.0,43189.0
2021-01-27,Louisiana,358089,311135.0,46954.0
2021-01-28,Louisiana,375192,323609.0,51583.0
2021-01-29,Louisiana,397582,339450.0,58132.0
2021-01-30,Louisiana,420160,355024.0,65136.0
2021-01-31,Louisiana,442922,369486.0,73436.0
2021-02-01,Louisiana,462363,376491.0,85872.0
2021-02-02,Louisiana,475180,378574.0,96606.0
2021-02-03,Louisiana,488111,384041.0,104070.0
2021-02-04,Louisiana,509018,393389.0,115629.0
2021-02-05,Louisiana,535376,404021.0,131355.0
2021-02-06,Louisiana,569546,419327.0,150219.0
2021-02-07,Louisiana,598695,431119.0,167576.0
2021-02-08,Louisiana,612770,436190.0,176580.0
2021-02-09,Louisiana,618448,438336.0,180112.0
2021-02-10,Louisiana,637713,448139.0,189574.0
2021-02-11,Louisiana,637713,448139.0,189574.0
2021-02-12,Louisiana,699706,482025.0,217681.0
2021-02-13,Louisiana,734052,501286.0,232766.0
2021-02-14,Louisiana,767530,518682.0,248848.0
2021-02-15,Louisiana,775425,523367.0,252058.5
2021-02-16,Louisiana,783321,528052.0,255269.0
2021-02-17,Louisiana,789852,531448.0,258404.0
2021-02-18,Louisiana,793784,533933.0,259851.0
2021-02-19,Louisiana,857723,572666.0,285057.0
2021-02-20,Louisiana,875777,582482.0,293295.0
2021-02-21,Louisiana,892575,590652.0,301923.0
2021-02-22,Louisiana,887746,585541.0,302205.0
2021-02-23,Louisiana,891774,587123.0,304651.0
2021-02-24,Louisiana,905073,592378.0,312695.0
2021-02-25,Louisiana,927266,601353.0,325913.0
2021-02-26,Louisiana,961755,617832.0,343923.0
2021-02-27,Louisiana,1001921,640314.0,361607.0
2021-02-28,Louisiana,1038939,664121.0,374818.0
2021-03-01,Louisiana,1058155,678364.0,379791.0
2021-03-02,Louisiana,1065909,684129.0,381780.0
2021-03-03,Louisiana,1088728,699188.0,389540.0
2021-03-04,Louisiana,1119628,717682.0,401946.0
2021-03-05,Louisiana,1158862,740587.0,418275.0
2021-03-06,Louisiana,1160001,741136.0,418865.0
2021-03-07,Louisiana,1161443,741681.0,419762.0
2021-03-08,Louisiana,1267374,805777.0,461597.0
2021-03-09,Louisiana,1276518,811301.0,465217.0
2021-03-10,Louisiana,1301112,825386.0,475726.0
2021-03-11,Louisiana,1334518,846690.0,487828.0
2021-03-12,Louisiana,1377489,872278.0,505211.0
2021-03-13,Louisiana,1466142,925322.0,540820.0
2021-03-14,Louisiana,1466302,925437.0,540865.0
2021-03-15,Louisiana,1488079,937967.0,550112.0
2021-03-16,Louisiana,1500005,945870.0,554135.0
2021-03-17,Louisiana,1526583,963135.0,563448.0
