date,state,total doses,first dose,second dose
2021-01-12,Marshall Islands,624,623.0,1.0
2021-01-13,Marshall Islands,634,633.0,1.0
2021-01-14,Marshall Islands,624,623.0,1.5
2021-01-15,Marshall Islands,634,632.0,2.0
2021-01-16,Marshall Islands,788,786.5,2.0
2021-01-17,Marshall Islands,943,941.0,2.0
2021-01-18,Marshall Islands,1097,1095.5,2.0
2021-01-19,Marshall Islands,1252,1250.0,2.0
2021-01-20,Marshall Islands,1484,1482.0,2.0
2021-01-21,Marshall Islands,1961,1959.0,2.0
2021-01-22,Marshall Islands,2408,2406.0,2.0
2021-01-23,Marshall Islands,2843,2840.0,3.0
2021-01-24,Marshall Islands,3068,3065.0,3.0
2021-01-25,Marshall Islands,3068,3065.0,3.0
2021-01-26,Marshall Islands,3253,3250.0,3.0
2021-01-27,Marshall Islands,3507,3487.0,20.0
2021-01-28,Marshall Islands,3723,3594.0,129.0
2021-01-29,Marshall Islands,3893,3661.0,232.0
2021-01-30,Marshall Islands,3957,3723.0,234.0
2021-01-31,Marshall Islands,4090,3763.0,327.0
2021-02-01,Marshall Islands,4090,3763.0,327.0
2021-02-02,Marshall Islands,4220,3844.0,376.0
2021-02-03,Marshall Islands,4220,3844.0,376.0
2021-02-04,Marshall Islands,4386,3955.0,431.0
2021-02-05,Marshall Islands,4515,4072.0,443.0
2021-02-06,Marshall Islands,4702,4259.0,443.0
2021-02-07,Marshall Islands,4869,4412.0,457.0
2021-02-08,Marshall Islands,4869,4412.0,457.0
2021-02-09,Marshall Islands,5107,4628.0,479.0
2021-02-10,Marshall Islands,5222,4729.0,493.0
2021-02-11,Marshall Islands,5395,4868.0,527.0
2021-02-12,Marshall Islands,5570,4980.0,590.0
2021-02-13,Marshall Islands,5691,5095.0,596.0
2021-02-14,Marshall Islands,5898,5233.0,665.0
2021-02-15,Marshall Islands,6154,5458.5,695.5
2021-02-16,Marshall Islands,6410,5684.0,726.0
2021-02-17,Marshall Islands,6413,5685.0,728.0
2021-02-18,Marshall Islands,6714,5858.0,856.0
2021-02-19,Marshall Islands,7364,6203.0,1161.0
2021-02-20,Marshall Islands,7680,6462.0,1218.0
2021-02-21,Marshall Islands,8661,7170.0,1491.0
2021-02-22,Marshall Islands,8880,7182.0,1698.0
2021-02-23,Marshall Islands,9416,7568.0,1848.0
2021-02-24,Marshall Islands,9948,7774.0,2174.0
2021-02-25,Marshall Islands,10312,8082.0,2230.0
2021-02-26,Marshall Islands,10697,8427.0,2270.0
2021-02-27,Marshall Islands,10699,8429.0,2270.0
2021-02-28,Marshall Islands,11151,8819.0,2332.0
2021-03-01,Marshall Islands,11151,8819.0,2332.0
2021-03-02,Marshall Islands,11304,8843.0,2461.0
2021-03-03,Marshall Islands,11304,8843.0,2461.0
2021-03-04,Marshall Islands,12063,9394.0,2669.0
2021-03-05,Marshall Islands,12544,9674.0,2870.0
2021-03-06,Marshall Islands,13242,10027.0,3215.0
2021-03-07,Marshall Islands,13691,10430.0,3261.0
2021-03-08,Marshall Islands,13695,10432.0,3263.0
2021-03-09,Marshall Islands,14476,10732.0,3744.0
2021-03-10,Marshall Islands,14938,10897.0,4041.0
2021-03-11,Marshall Islands,15465,11050.0,4415.0
2021-03-12,Marshall Islands,15845,11121.0,4724.0
2021-03-13,Marshall Islands,15957,11204.0,4753.0
2021-03-14,Marshall Islands,15957,11204.0,4753.0
2021-03-15,Marshall Islands,15957,11204.0,4753.0
2021-03-16,Marshall Islands,16050,11263.0,4787.0
2021-03-17,Marshall Islands,17061,11597.0,5464.0
