date,state,total doses,first dose,second dose
2021-01-12,Massachusetts,204057,184984,19073
2021-01-13,Massachusetts,217408,192619,24789
2021-01-14,Massachusetts,234318,204481,29837
2021-01-15,Massachusetts,256994,222109,34885
2021-01-16,Massachusetts,272411,235984,36427
2021-01-17,Massachusetts,287829,249860,37969
2021-01-18,Massachusetts,303247,263736,39511
2021-01-19,Massachusetts,318665,277612,41053
2021-01-20,Massachusetts,330271,288209,42062
2021-01-21,Massachusetts,352893,306646,46247
2021-01-22,Massachusetts,370292,318630,51662
2021-01-23,Massachusetts,392383,334514,57869
2021-01-24,Massachusetts,419198,356102,63096
2021-01-25,Massachusetts,433006,368358,64648
2021-01-26,Massachusetts,442074,376313,65761
2021-01-27,Massachusetts,463622,390470,73152
2021-01-28,Massachusetts,489661,406024,83637
2021-01-29,Massachusetts,519176,422803,96373
2021-01-30,Massachusetts,545651,438852,106799
2021-01-31,Massachusetts,577723,461408,116315
2021-02-01,Massachusetts,607481,484829,122652
2021-02-02,Massachusetts,624005,497445,126560
2021-02-03,Massachusetts,624005,497445,126560
2021-02-04,Massachusetts,651446,517135,134311
2021-02-05,Massachusetts,683567,539877,143690
2021-02-06,Massachusetts,725545,571853,153692
2021-02-07,Massachusetts,778631,609483,169148
2021-02-08,Massachusetts,804591,630154,174437
2021-02-09,Massachusetts,830411,649131,181280
2021-02-10,Massachusetts,882061,687093,194968
2021-02-11,Massachusetts,922700,715308,207392
2021-02-12,Massachusetts,960541,741746,218795
2021-02-13,Massachusetts,1007340,771430,235910
2021-02-14,Massachusetts,1083189,823429,259760
2021-02-15,Massachusetts,1113808,843617,270191
2021-02-16,Massachusetts,1144428,863806,280622
2021-02-17,Massachusetts,1167936,879627,288309
2021-02-18,Massachusetts,1212129,912258,299871
2021-02-19,Massachusetts,1313620,987512,326108
2021-02-20,Massachusetts,1372114,1028490,343624
2021-02-21,Massachusetts,1422657,1054948,367709
2021-02-22,Massachusetts,1452969,1070869,382100
2021-02-23,Massachusetts,1483440,1090809,392631
2021-02-24,Massachusetts,1516357,1108977,407380
2021-02-25,Massachusetts,1558825,1133903,424922
2021-02-26,Massachusetts,1607150,1162144,445006
2021-02-27,Massachusetts,1665587,1194345,471242
2021-02-28,Massachusetts,1716811,1220455,496356
2021-03-01,Massachusetts,1783661,1260542,523119
2021-03-02,Massachusetts,1817541,1278555,538986
2021-03-03,Massachusetts,1863407,1306343,557064
2021-03-04,Massachusetts,1919906,1341520,578386
2021-03-05,Massachusetts,1984421,1379021,605400
2021-03-06,Massachusetts,2060427,1423801,636626
2021-03-07,Massachusetts,2126449,1463301,663148
2021-03-08,Massachusetts,2188437,1493343,695094
2021-03-09,Massachusetts,2217663,1510698,706965
2021-03-10,Massachusetts,2316687,1567359,749328
2021-03-11,Massachusetts,2384924,1608665,776259
2021-03-12,Massachusetts,2462214,1650762,811452
2021-03-13,Massachusetts,2591783,1717752,874031
2021-03-14,Massachusetts,2592270,1718071,874199
2021-03-15,Massachusetts,2656378,1751693,904685
2021-03-16,Massachusetts,2670709,1759203,911506
2021-03-17,Massachusetts,2748454,1805897,942557
2021-03-18,Massachusetts,2814343,1845302,969041
2021-03-19,Massachusetts,2881026,1886403,994623
2021-03-20,Massachusetts,2953742,1932142,1021600
