date,state,total doses,first dose,second dose
2021-01-12,Michigan,227258,207786.0,19472.0
2021-01-13,Michigan,291056,259119.0,31937.0
2021-01-14,Michigan,326585,286349.0,40236.5
2021-01-15,Michigan,360951,312415.0,48536.0
2021-01-16,Michigan,390715,338618.25,52097.0
2021-01-17,Michigan,420479,364821.5,55658.0
2021-01-18,Michigan,450243,391024.75,59219.0
2021-01-19,Michigan,480008,417228.0,62780.0
2021-01-20,Michigan,504937,434402.0,70535.0
2021-01-21,Michigan,544931,463917.0,81014.0
2021-01-22,Michigan,590431,497958.0,92473.0
2021-01-23,Michigan,642118,536228.0,105890.0
2021-01-24,Michigan,684410,573167.0,111243.0
2021-01-25,Michigan,716505,599665.0,116840.0
2021-01-26,Michigan,731052,611090.0,119962.0
2021-01-27,Michigan,760719,629437.0,131282.0
2021-01-28,Michigan,802875,659118.0,143757.0
2021-01-29,Michigan,854959,695236.0,159723.0
2021-01-30,Michigan,910020,734903.0,175117.0
2021-01-31,Michigan,963721,772944.0,190777.0
2021-02-01,Michigan,992161,794391.0,197770.0
2021-02-02,Michigan,1002076,801811.0,200265.0
2021-02-03,Michigan,1028596,814362.0,214234.0
2021-02-04,Michigan,1064897,835524.0,229373.0
2021-02-05,Michigan,1119729,866766.0,252963.0
2021-02-06,Michigan,1178507,896162.0,282345.0
2021-02-07,Michigan,1236734,924494.0,312240.0
2021-02-08,Michigan,1267080,938279.0,328801.0
2021-02-09,Michigan,1294285,950705.0,343580.0
2021-02-10,Michigan,1342838,971480.0,371358.0
2021-02-11,Michigan,1395643,997466.0,398177.0
2021-02-12,Michigan,1448777,1023114.0,425663.0
2021-02-13,Michigan,1520656,1061320.0,459336.0
2021-02-14,Michigan,1587476,1096479.0,490997.0
2021-02-15,Michigan,1613368,1110251.5,503117.0
2021-02-16,Michigan,1639261,1124024.0,515237.0
2021-02-17,Michigan,1662913,1136393.0,526520.0
2021-02-18,Michigan,1700670,1155117.0,545553.0
2021-02-19,Michigan,1815467,1223696.0,591771.0
2021-02-20,Michigan,1865353,1247602.0,617751.0
2021-02-21,Michigan,1914700,1267083.0,647617.0
2021-02-22,Michigan,1985815,1304589.0,681226.0
2021-02-23,Michigan,1999263,1310846.0,688417.0
2021-02-24,Michigan,2057634,1341342.0,716292.0
2021-02-25,Michigan,2116247,1364572.0,751675.0
2021-02-26,Michigan,2179429,1399281.0,780148.0
2021-02-27,Michigan,2259963,1444239.0,815724.0
2021-02-28,Michigan,2334258,1491316.0,842942.0
2021-03-01,Michigan,2373706,1514180.0,859526.0
2021-03-02,Michigan,2407046,1536958.0,870088.0
2021-03-03,Michigan,2442088,1562225.0,879863.0
2021-03-04,Michigan,2495321,1590980.0,904341.0
2021-03-05,Michigan,2574591,1644210.0,930381.0
2021-03-06,Michigan,2657948,1702571.0,955377.0
2021-03-07,Michigan,2739021,1758766.0,980255.0
2021-03-08,Michigan,2792147,1789580.0,1002567.0
2021-03-09,Michigan,2814960,1805357.0,1009603.0
2021-03-10,Michigan,2860403,1834706.0,1025697.0
2021-03-11,Michigan,2930545,1880098.0,1050447.0
2021-03-12,Michigan,3018749,1936578.0,1082171.0
2021-03-13,Michigan,3117522,2001598.0,1115924.0
2021-03-14,Michigan,3210570,2053751.0,1156819.0
2021-03-15,Michigan,3217507,2056704.0,1160803.0
2021-03-16,Michigan,3297850,2105973.0,1191877.0
2021-03-17,Michigan,3369259,2152908.0,1216351.0
