date,state,total doses,first dose,second dose
2021-01-12,Minnesota,162078,152280,9798
2021-01-13,Minnesota,165193,154767,10426
2021-01-14,Minnesota,180619,161507,19112
2021-01-15,Minnesota,198072,170273,27799
2021-01-16,Minnesota,211362,179984,31378
2021-01-17,Minnesota,224652,189695,34957
2021-01-18,Minnesota,237942,199406,38536
2021-01-19,Minnesota,251234,209118,42116
2021-01-20,Minnesota,252246,209862,42384
2021-01-21,Minnesota,259110,213102,46008
2021-01-22,Minnesota,277897,223957,53940
2021-01-23,Minnesota,304777,240009,64768
2021-01-24,Minnesota,320643,252927,67716
2021-01-25,Minnesota,346239,273973,72266
2021-01-26,Minnesota,359817,287195,72622
2021-01-27,Minnesota,374746,298902,75844
2021-01-28,Minnesota,402933,315664,87269
2021-01-29,Minnesota,438945,340311,98634
2021-01-30,Minnesota,484160,376632,107528
2021-01-31,Minnesota,516970,402715,114255
2021-02-01,Minnesota,544505,425546,118959
2021-02-02,Minnesota,550803,431172,119631
2021-02-03,Minnesota,550803,431172,119631
2021-02-04,Minnesota,591444,459716,131728
2021-02-05,Minnesota,591444,459716,131728
2021-02-06,Minnesota,660184,509608,150576
2021-02-07,Minnesota,685814,528537,157277
2021-02-08,Minnesota,701927,541133,160794
2021-02-09,Minnesota,701927,541133,160794
2021-02-10,Minnesota,701927,541133,160794
2021-02-11,Minnesota,751566,575084,176482
2021-02-12,Minnesota,784206,595334,188872
2021-02-13,Minnesota,828499,622541,205958
2021-02-14,Minnesota,867632,643627,224005
2021-02-15,Minnesota,886576,656460,230116
2021-02-16,Minnesota,905521,669293,236228
2021-02-17,Minnesota,921780,681366,240414
2021-02-18,Minnesota,953793,696510,257283
2021-02-19,Minnesota,1047958,754315,293643
2021-02-20,Minnesota,1093369,772141,321228
2021-02-21,Minnesota,1132768,788468,344300
2021-02-22,Minnesota,1140540,794373,346167
2021-02-23,Minnesota,1172206,805885,366321
2021-02-24,Minnesota,1191383,816072,375311
2021-02-25,Minnesota,1220901,830072,390829
2021-02-26,Minnesota,1263996,852799,411197
2021-02-27,Minnesota,1324997,888433,436564
2021-02-28,Minnesota,1397081,941537,455544
2021-03-01,Minnesota,1433209,963223,469986
2021-03-02,Minnesota,1447557,971142,476415
2021-03-03,Minnesota,1481483,993146,488337
2021-03-04,Minnesota,1517218,1013705,503513
2021-03-05,Minnesota,1567508,1043647,523861
2021-03-06,Minnesota,1633913,1086169,547744
2021-03-07,Minnesota,1688076,1123285,564791
2021-03-08,Minnesota,1744647,1151692,592955
2021-03-09,Minnesota,1771208,1167407,603801
2021-03-10,Minnesota,1802873,1185323,617550
2021-03-11,Minnesota,1859934,1213677,646257
2021-03-12,Minnesota,1914314,1249489,664825
2021-03-13,Minnesota,2045296,1330070,715226
2021-03-14,Minnesota,2046195,1330645,715550
2021-03-15,Minnesota,2087768,1353203,734565
2021-03-16,Minnesota,2098590,1358707,739883
2021-03-17,Minnesota,2138123,1379321,758802
2021-03-18,Minnesota,2177632,1399649,777983
2021-03-19,Minnesota,2239808,1436197,803611
2021-03-20,Minnesota,2304557,1471972,832585
2021-03-21,Minnesota,2368549,1511191,857358
2021-03-22,Minnesota,2403598,1534133,869465
2021-03-23,Minnesota,2416898,1542418,874480
2021-03-24,Minnesota,2444331,1560304,884027
2021-03-25,Minnesota,2483623,1582691,900932
2021-03-26,Minnesota,2547288,1620242,927046
2021-03-27,Minnesota,2629604,1668646,960958
2021-03-28,Minnesota,2705420,1703543,1001877
2021-03-29,Minnesota,2741026,1722919,1018107
2021-03-30,Minnesota,2785051,1753301,1031750
2021-03-31,Minnesota,2835572,1774794,1060778
2021-04-01,Minnesota,2888751,1800657,1088094
2021-04-02,Minnesota,2959637,1839310,1120327
2021-04-03,Minnesota,3055321,1891156,1164165
2021-04-04,Minnesota,3131817,1931620,1200197
2021-04-05,Minnesota,3183560,1959487,1224073
2021-04-06,Minnesota,3196156,1965827,1230329
2021-04-07,Minnesota,3255140,1997400,1257740
2021-04-08,Minnesota,3312351,2025504,1286847
2021-04-09,Minnesota,3395761,2067897,1327864
2021-04-10,Minnesota,3456626,2097594,1359032
2021-04-11,Minnesota,3570052,2156318,1413734
2021-04-12,Minnesota,3687659,2219065,1468594
2021-04-13,Minnesota,3721938,2237959,1483979
2021-04-14,Minnesota,3750986,2254554,1496432
