date,state,total doses,first dose,second dose
2021-01-12,Missouri,130094,107939.0,22155.0
2021-01-13,Missouri,130094,107939.0,22155.0
2021-01-14,Missouri,174861,145521.0,29340.0
2021-01-15,Missouri,190189,153664.0,36525.0
2021-01-16,Missouri,201432,162696.25,38735.75
2021-01-17,Missouri,212675,171728.5,40946.5
2021-01-18,Missouri,223918,180760.75,43157.25
2021-01-19,Missouri,235161,189793.0,45368.0
2021-01-20,Missouri,243197,193867.0,49330.0
2021-01-21,Missouri,263999,205217.0,58782.0
2021-01-22,Missouri,284296,217597.0,66699.0
2021-01-23,Missouri,290315,221849.0,68466.0
2021-01-24,Missouri,316185,242937.0,73248.0
2021-01-25,Missouri,334121,258298.0,75823.0
2021-01-26,Missouri,338697,262230.0,76467.0
2021-01-27,Missouri,356516,276990.0,79526.0
2021-01-28,Missouri,380699,294872.0,85827.0
2021-01-29,Missouri,405550,313161.0,92389.0
2021-01-30,Missouri,405550,313161.0,92389.0
2021-01-31,Missouri,440945,340708.0,100237.0
2021-02-01,Missouri,458628,355387.0,103241.0
2021-02-02,Missouri,462825,358762.0,104063.0
2021-02-03,Missouri,478224,371382.0,106842.0
2021-02-04,Missouri,500798,388692.0,112106.0
2021-02-05,Missouri,531298,412990.0,118308.0
2021-02-06,Missouri,578103,448830.0,129273.0
2021-02-07,Missouri,618546,477412.0,141134.0
2021-02-08,Missouri,636823,490686.0,146137.0
2021-02-09,Missouri,640232,492766.0,147466.0
2021-02-10,Missouri,662788,507801.0,154987.0
2021-02-11,Missouri,687795,524638.0,163157.0
2021-02-12,Missouri,710209,537256.0,172953.0
2021-02-13,Missouri,797773,592128.0,205645.0
2021-02-14,Missouri,838759,613292.0,225467.0
2021-02-15,Missouri,854182,622065.0,232117.0
2021-02-16,Missouri,869605,630838.0,238767.0
2021-02-17,Missouri,882586,637707.0,244879.0
2021-02-18,Missouri,906002,646707.0,259295.0
2021-02-19,Missouri,1004425,708969.0,295456.0
2021-02-20,Missouri,1032908,723937.0,308971.0
2021-02-21,Missouri,1073445,736999.0,336446.0
2021-02-22,Missouri,1046942,717772.0,329170.0
2021-02-23,Missouri,1053368,720372.0,332996.0
2021-02-24,Missouri,1079230,732498.0,346732.0
2021-02-25,Missouri,1109026,744895.0,364131.0
2021-02-26,Missouri,1153816,774707.0,379109.0
2021-02-27,Missouri,1217387,805542.0,411845.0
2021-02-28,Missouri,1220224,807368.0,412856.0
2021-03-01,Missouri,1308660,865315.0,443345.0
2021-03-02,Missouri,1317964,872317.0,445647.0
2021-03-03,Missouri,1351101,893880.0,457221.0
2021-03-04,Missouri,1393087,917676.0,475411.0
2021-03-05,Missouri,1438565,945451.0,493114.0
2021-03-06,Missouri,1486152,976273.0,509879.0
2021-03-07,Missouri,1533557,1007667.0,525890.0
2021-03-08,Missouri,1568788,1027201.0,541587.0
2021-03-09,Missouri,1582678,1038458.0,544220.0
2021-03-10,Missouri,1625299,1060792.0,564507.0
2021-03-11,Missouri,1667489,1085613.0,581876.0
2021-03-12,Missouri,1708180,1110044.0,598136.0
2021-03-13,Missouri,1819905,1186989.0,632916.0
2021-03-14,Missouri,1822282,1188641.0,633641.0
2021-03-15,Missouri,1852853,1205497.0,647356.0
2021-03-16,Missouri,1864261,1212720.0,651541.0
2021-03-17,Missouri,1898876,1235858.0,663018.0
