date,state,total doses,first dose,second dose
2021-01-12,Montana,36730,30887.0,5843.0
2021-01-13,Montana,38709,31886.0,6823.0
2021-01-14,Montana,46611,39103.0,7508.0
2021-01-15,Montana,49353,41160.0,8193.0
2021-01-16,Montana,50984,42672.25,8312.5
2021-01-17,Montana,52616,44184.5,8432.0
2021-01-18,Montana,54248,45696.75,8551.5
2021-01-19,Montana,55880,47209.0,8671.0
2021-01-20,Montana,57207,48086.0,9121.0
2021-01-21,Montana,60375,50413.0,9962.0
2021-01-22,Montana,66331,54453.0,11878.0
2021-01-23,Montana,72524,59289.0,13235.0
2021-01-24,Montana,76569,62498.0,14071.0
2021-01-25,Montana,77335,63224.0,14111.0
2021-01-26,Montana,77726,63481.0,14245.0
2021-01-27,Montana,81143,65746.0,15397.0
2021-01-28,Montana,86181,68032.0,18149.0
2021-01-29,Montana,92541,71534.0,21007.0
2021-01-30,Montana,99217,75432.0,23785.0
2021-01-31,Montana,104469,79584.0,24885.0
2021-02-01,Montana,106065,80627.0,25438.0
2021-02-02,Montana,107244,81420.0,25824.0
2021-02-03,Montana,110220,83875.0,26345.0
2021-02-04,Montana,115984,87042.0,28942.0
2021-02-05,Montana,122360,91611.0,30749.0
2021-02-06,Montana,130601,96394.0,34207.0
2021-02-07,Montana,137457,101262.0,36195.0
2021-02-08,Montana,138961,102365.0,36596.0
2021-02-09,Montana,139810,102903.0,36907.0
2021-02-10,Montana,144004,106038.0,37966.0
2021-02-11,Montana,148976,109266.0,39710.0
2021-02-12,Montana,157310,115415.0,41895.0
2021-02-13,Montana,166961,122026.0,44935.0
2021-02-14,Montana,176396,127657.0,48739.0
2021-02-15,Montana,178816,129291.5,49525.0
2021-02-16,Montana,181237,130926.0,50311.0
2021-02-17,Montana,184140,132847.0,51293.0
2021-02-18,Montana,189609,136359.0,53250.0
2021-02-19,Montana,220587,157930.0,62657.0
2021-02-20,Montana,228165,161546.0,66619.0
2021-02-21,Montana,236348,165472.0,70876.0
2021-02-22,Montana,240805,168580.0,72225.0
2021-02-23,Montana,243011,169958.0,73053.0
2021-02-24,Montana,246635,171428.0,75207.0
2021-02-25,Montana,252308,174160.0,78148.0
2021-02-26,Montana,261023,179212.0,81811.0
2021-02-27,Montana,271128,183889.0,87239.0
2021-02-28,Montana,281502,188782.0,92720.0
2021-03-01,Montana,284841,191091.0,93750.0
2021-03-02,Montana,286374,191691.0,94683.0
2021-03-03,Montana,291864,194837.0,97027.0
2021-03-04,Montana,301310,199610.0,101700.0
2021-03-05,Montana,312637,205372.0,107265.0
2021-03-06,Montana,324318,210773.0,113545.0
2021-03-07,Montana,337289,217186.0,120103.0
2021-03-08,Montana,342102,219236.0,122866.0
2021-03-09,Montana,344289,220672.0,123617.0
2021-03-10,Montana,350905,224812.0,126093.0
2021-03-11,Montana,361748,230731.0,131017.0
2021-03-12,Montana,373479,237009.0,136470.0
2021-03-13,Montana,387085,243698.0,143387.0
2021-03-14,Montana,400014,251203.0,148811.0
2021-03-15,Montana,403319,252446.0,150873.0
2021-03-16,Montana,406785,254359.0,152426.0
2021-03-17,Montana,412165,257975.0,154190.0
