date,state,total doses,first dose,second dose
2021-01-12,Nebraska,74383,65924.0,8459.0
2021-01-13,Nebraska,79642,69113.0,10529.0
2021-01-14,Nebraska,83868,72079.0,11789.5
2021-01-15,Nebraska,90784,77734.0,13050.0
2021-01-16,Nebraska,93816,80564.0,13252.5
2021-01-17,Nebraska,96849,83394.0,13455.0
2021-01-18,Nebraska,99881,86224.0,13657.5
2021-01-19,Nebraska,102914,89054.0,13860.0
2021-01-20,Nebraska,105503,91040.0,14463.0
2021-01-21,Nebraska,111056,94850.0,16206.0
2021-01-22,Nebraska,117657,99571.0,18086.0
2021-01-23,Nebraska,123266,103620.0,19646.0
2021-01-24,Nebraska,132035,109860.0,22175.0
2021-01-25,Nebraska,133219,110672.0,22547.0
2021-01-26,Nebraska,134313,111248.0,23065.0
2021-01-27,Nebraska,138752,114154.0,24598.0
2021-01-28,Nebraska,149149,116769.0,32380.0
2021-01-29,Nebraska,157471,120121.0,37350.0
2021-01-30,Nebraska,166356,125263.0,41093.0
2021-01-31,Nebraska,176714,133002.0,43712.0
2021-02-01,Nebraska,179909,134193.0,45716.0
2021-02-02,Nebraska,181400,134877.0,46523.0
2021-02-03,Nebraska,187243,138354.0,48889.0
2021-02-04,Nebraska,194047,141657.0,52390.0
2021-02-05,Nebraska,202896,147583.0,55313.0
2021-02-06,Nebraska,217124,157139.0,59985.0
2021-02-07,Nebraska,229497,163479.0,66018.0
2021-02-08,Nebraska,232673,165037.0,67636.0
2021-02-09,Nebraska,233909,165853.0,68056.0
2021-02-10,Nebraska,239619,169053.0,70566.0
2021-02-11,Nebraska,246394,172690.0,73704.0
2021-02-12,Nebraska,258337,179502.0,78835.0
2021-02-13,Nebraska,272277,188607.0,83670.0
2021-02-14,Nebraska,283995,195639.0,88356.0
2021-02-15,Nebraska,286443,197149.5,89293.5
2021-02-16,Nebraska,288891,198660.0,90231.0
2021-02-17,Nebraska,293136,201138.0,91998.0
2021-02-18,Nebraska,303229,206790.0,96439.0
2021-02-19,Nebraska,345863,235260.0,110603.0
2021-02-20,Nebraska,358625,244045.0,114580.0
2021-02-21,Nebraska,370494,252022.0,118472.0
2021-02-22,Nebraska,376412,257986.0,118426.0
2021-02-23,Nebraska,388255,265602.0,122653.0
2021-02-24,Nebraska,401107,271328.0,129779.0
2021-02-25,Nebraska,417401,281023.0,136378.0
2021-02-26,Nebraska,436978,293300.0,143678.0
2021-02-27,Nebraska,438716,294145.0,144571.0
2021-02-28,Nebraska,468779,309977.0,158802.0
2021-03-01,Nebraska,470868,311102.0,159766.0
2021-03-02,Nebraska,479299,316806.0,162493.0
2021-03-03,Nebraska,491366,323340.0,168026.0
2021-03-04,Nebraska,507521,332116.0,175405.0
2021-03-05,Nebraska,529161,344129.0,185032.0
2021-03-06,Nebraska,530315,344638.0,185677.0
2021-03-07,Nebraska,550194,356090.0,194104.0
2021-03-08,Nebraska,575495,371498.0,203997.0
2021-03-09,Nebraska,597114,387731.0,209383.0
2021-03-10,Nebraska,611752,396661.0,215091.0
2021-03-11,Nebraska,637735,411300.0,226435.0
2021-03-12,Nebraska,662418,421931.0,240487.0
2021-03-13,Nebraska,676351,428913.0,247438.0
2021-03-14,Nebraska,676590,429096.0,247494.0
2021-03-15,Nebraska,695713,444391.0,251322.0
2021-03-16,Nebraska,708243,449836.0,258407.0
2021-03-17,Nebraska,723364,457500.0,265864.0
