date,state,total doses,first dose,second dose
2021-01-12,New York State,579436,543014.0,36422.0
2021-01-13,New York State,632377,587865.0,44512.0
2021-01-14,New York State,676613,617596.0,59017.5
2021-01-15,New York State,744834,671311.0,73523.0
2021-01-16,New York State,805399,724710.25,80689.0
2021-01-17,New York State,865964,778109.5,87855.0
2021-01-18,New York State,926529,831508.75,95021.0
2021-01-19,New York State,987095,884908.0,102187.0
2021-01-20,New York State,1033160,926339.0,106821.0
2021-01-21,New York State,1102984,982183.0,120801.0
2021-01-22,New York State,1190458,1048453.0,142005.0
2021-01-23,New York State,1268620,1105935.0,162685.0
2021-01-24,New York State,1349580,1172921.0,176659.0
2021-01-25,New York State,1399365,1215450.0,183915.0
2021-01-26,New York State,1435006,1245215.0,189791.0
2021-01-27,New York State,1499507,1286705.0,212802.0
2021-01-28,New York State,1559294,1320572.0,238722.0
2021-01-29,New York State,1631844,1359970.0,271874.0
2021-01-30,New York State,1720475,1417373.0,303102.0
2021-01-31,New York State,1803409,1473614.0,329795.0
2021-02-01,New York State,1855591,1511266.0,344325.0
2021-02-02,New York State,1894362,1541235.0,353127.0
2021-02-03,New York State,1930999,1562945.0,368054.0
2021-02-04,New York State,1965351,1576553.0,388798.0
2021-02-05,New York State,2037200,1610832.0,426368.0
2021-02-06,New York State,2130000,1661253.0,468747.0
2021-02-07,New York State,2241403,1722302.0,519101.0
2021-02-08,New York State,2321928,1767666.0,554262.0
2021-02-09,New York State,2368018,1795592.0,572426.0
2021-02-10,New York State,2453258,1833754.0,619504.0
2021-02-11,New York State,2537773,1869595.0,668178.0
2021-02-12,New York State,2629337,1907783.0,721554.0
2021-02-13,New York State,2737758,1959193.0,778565.0
2021-02-14,New York State,2841396,2007952.0,833444.0
2021-02-15,New York State,2933954,2054994.5,878959.5
2021-02-16,New York State,3026512,2102037.0,924475.0
2021-02-17,New York State,3094280,2138943.0,955337.0
2021-02-18,New York State,3169794,2176004.0,993790.0
2021-02-19,New York State,3363124,2296133.0,1066991.0
2021-02-20,New York State,3451526,2334012.0,1117514.0
2021-02-21,New York State,3537454,2369520.0,1167934.0
2021-02-22,New York State,3606464,2400850.0,1205614.0
2021-02-23,New York State,3667695,2426155.0,1241540.0
2021-02-24,New York State,3716395,2449913.0,1266482.0
2021-02-25,New York State,3774888,2482912.0,1291976.0
2021-02-26,New York State,3851348,2525442.0,1325906.0
2021-02-27,New York State,3957335,2588847.0,1368488.0
2021-02-28,New York State,4121610,2691322.0,1430288.0
2021-03-01,New York State,4251518,2777745.0,1473773.0
2021-03-02,New York State,4391292,2880527.0,1510765.0
2021-03-03,New York State,4503067,2958184.0,1544883.0
2021-03-04,New York State,4626538,3052380.0,1574158.0
2021-03-05,New York State,4759915,3155309.0,1604606.0
2021-03-06,New York State,4936889,3292632.0,1644257.0
2021-03-07,New York State,5130831,3438817.0,1692014.0
2021-03-08,New York State,5321931,3569927.0,1752004.0
2021-03-09,New York State,5443655,3651402.0,1792253.0
2021-03-10,New York State,5626769,3781666.0,1845103.0
2021-03-11,New York State,5792692,3892844.0,1899848.0
2021-03-12,New York State,5964088,4010039.0,1954049.0
2021-03-13,New York State,6274884,4226184.0,2048700.0
2021-03-14,New York State,6276024,4226938.0,2049086.0
2021-03-15,New York State,6429725,4323082.0,2106643.0
2021-03-16,New York State,6564957,4404294.0,2160663.0
2021-03-17,New York State,6699296,4487772.0,2211524.0
