date,state,total doses,first dose,second dose
2021-01-12,North Carolina,208506,189213.0,19293.0
2021-01-13,North Carolina,263834,228686.0,35148.0
2021-01-14,North Carolina,272007,233038.0,38969.0
2021-01-15,North Carolina,302649,259859.0,42790.0
2021-01-16,North Carolina,327123,281527.5,45595.5
2021-01-17,North Carolina,351597,303196.0,48401.0
2021-01-18,North Carolina,376071,324864.5,51206.5
2021-01-19,North Carolina,400545,346533.0,54012.0
2021-01-20,North Carolina,427225,368818.0,58407.0
2021-01-21,North Carolina,472993,406257.0,66736.0
2021-01-22,North Carolina,524571,450144.0,74427.0
2021-01-23,North Carolina,576584,497387.0,79197.0
2021-01-24,North Carolina,635946,552194.0,83752.0
2021-01-25,North Carolina,675500,589436.0,86064.0
2021-01-26,North Carolina,699145,611853.0,87292.0
2021-01-27,North Carolina,716125,627980.0,88145.0
2021-01-28,North Carolina,849031,728551.0,120480.0
2021-01-29,North Carolina,850453,729507.0,120946.0
2021-01-30,North Carolina,897898,762635.0,135263.0
2021-01-31,North Carolina,950688,800782.0,149906.0
2021-02-01,North Carolina,974682,818858.0,155824.0
2021-02-02,North Carolina,975092,819119.0,155973.0
2021-02-03,North Carolina,1025537,855450.0,170087.0
2021-02-04,North Carolina,1062289,875375.0,186914.0
2021-02-05,North Carolina,1108840,902198.0,206642.0
2021-02-06,North Carolina,1169926,939554.0,230372.0
2021-02-07,North Carolina,1241143,979112.0,262031.0
2021-02-08,North Carolina,1272914,999151.0,273763.0
2021-02-09,North Carolina,1286017,1005714.0,280303.0
2021-02-10,North Carolina,1334518,1033527.0,300991.0
2021-02-11,North Carolina,1381004,1050246.0,330758.0
2021-02-12,North Carolina,1445678,1075646.0,370032.0
2021-02-13,North Carolina,1521536,1114685.0,406851.0
2021-02-14,North Carolina,1615438,1166560.0,448878.0
2021-02-15,North Carolina,1649068,1182635.0,466433.5
2021-02-16,North Carolina,1682699,1198710.0,483989.0
2021-02-17,North Carolina,1732589,1223476.0,509113.0
2021-02-18,North Carolina,1779925,1238992.0,540933.0
2021-02-19,North Carolina,1956382,1339762.0,616620.0
2021-02-20,North Carolina,2005867,1353909.0,651958.0
2021-02-21,North Carolina,2065399,1373952.0,691447.0
2021-02-22,North Carolina,2074979,1368734.0,706245.0
2021-02-23,North Carolina,2087653,1372784.0,714869.0
2021-02-24,North Carolina,2133815,1389988.0,743827.0
2021-02-25,North Carolina,2179543,1407925.0,771618.0
2021-02-26,North Carolina,2253230,1451906.0,801324.0
2021-02-27,North Carolina,2333478,1504356.0,829122.0
2021-02-28,North Carolina,2433427,1574172.0,859255.0
2021-03-01,North Carolina,2490379,1615012.0,875367.0
2021-03-02,North Carolina,2509139,1626567.0,882572.0
2021-03-03,North Carolina,2569526,1665521.0,904005.0
2021-03-04,North Carolina,2623584,1692968.0,930616.0
2021-03-05,North Carolina,2642903,1706016.0,936887.0
2021-03-06,North Carolina,2722403,1758662.0,963741.0
2021-03-07,North Carolina,2792334,1805008.0,987326.0
2021-03-08,North Carolina,2846479,1838635.0,1007844.0
2021-03-09,North Carolina,2874369,1858432.0,1015937.0
2021-03-10,North Carolina,2947037,1906434.0,1040603.0
2021-03-11,North Carolina,3022254,1950352.0,1071902.0
2021-03-12,North Carolina,3144718,2014895.0,1129823.0
2021-03-13,North Carolina,3388375,2181724.0,1206651.0
2021-03-14,North Carolina,3412937,2193331.0,1219606.0
2021-03-15,North Carolina,3486802,2233748.0,1253054.0
2021-03-16,North Carolina,3583571,2293986.0,1289585.0
2021-03-17,North Carolina,3658929,2337632.0,1321297.0
