date,state,total doses,first dose,second dose
2021-01-12,North Dakota,39463,33648.0,5815.0
2021-01-13,North Dakota,40712,34317.0,6395.0
2021-01-14,North Dakota,42268,35293.0,6975.0
2021-01-15,North Dakota,46061,38506.0,7555.0
2021-01-16,North Dakota,48610,40783.5,7826.5
2021-01-17,North Dakota,51159,43061.0,8098.0
2021-01-18,North Dakota,53708,45338.5,8369.5
2021-01-19,North Dakota,56257,47616.0,8641.0
2021-01-20,North Dakota,57304,48350.0,8954.0
2021-01-21,North Dakota,58867,48986.0,9881.0
2021-01-22,North Dakota,63446,51018.0,12428.0
2021-01-23,North Dakota,67903,53491.0,14412.0
2021-01-24,North Dakota,71747,56158.0,15589.0
2021-01-25,North Dakota,73676,57996.0,15680.0
2021-01-26,North Dakota,73873,58131.0,15742.0
2021-01-27,North Dakota,75625,58673.0,16952.0
2021-01-28,North Dakota,78408,60164.0,18244.0
2021-01-29,North Dakota,84473,63773.0,20700.0
2021-01-30,North Dakota,89853,66885.0,22968.0
2021-01-31,North Dakota,96181,70822.0,25359.0
2021-02-01,North Dakota,97723,71587.0,26136.0
2021-02-02,North Dakota,98228,71735.0,26493.0
2021-02-03,North Dakota,100007,72589.0,27418.0
2021-02-04,North Dakota,103234,74387.0,28847.0
2021-02-05,North Dakota,109154,78325.0,30829.0
2021-02-06,North Dakota,117058,81935.0,35123.0
2021-02-07,North Dakota,123133,85482.0,37651.0
2021-02-08,North Dakota,126050,87633.0,38417.0
2021-02-09,North Dakota,126050,87633.0,38417.0
2021-02-10,North Dakota,128071,88917.0,39154.0
2021-02-11,North Dakota,131660,90939.0,40721.0
2021-02-12,North Dakota,137436,94160.0,43276.0
2021-02-13,North Dakota,142205,96731.0,45474.0
2021-02-14,North Dakota,146916,99364.0,47552.0
2021-02-15,North Dakota,149165,100757.5,48407.5
2021-02-16,North Dakota,151414,102151.0,49263.0
2021-02-17,North Dakota,152029,102414.0,49615.0
2021-02-18,North Dakota,154634,104196.0,50438.0
2021-02-19,North Dakota,180125,122026.0,58099.0
2021-02-20,North Dakota,186295,124671.0,61624.0
2021-02-21,North Dakota,192202,126909.0,65293.0
2021-02-22,North Dakota,188742,125196.0,63546.0
2021-02-23,North Dakota,188971,125262.0,63709.0
2021-02-24,North Dakota,191882,127113.0,64769.0
2021-02-25,North Dakota,195964,129590.0,66374.0
2021-02-26,North Dakota,204308,134672.0,69636.0
2021-02-27,North Dakota,216527,142174.0,74353.0
2021-02-28,North Dakota,224996,147054.0,77942.0
2021-03-01,North Dakota,228941,149458.0,79483.0
2021-03-02,North Dakota,229192,149585.0,79607.0
2021-03-03,North Dakota,231438,150729.0,80709.0
2021-03-04,North Dakota,236362,153398.0,82964.0
2021-03-05,North Dakota,244979,158378.0,86601.0
2021-03-06,North Dakota,252974,164433.0,88541.0
2021-03-07,North Dakota,261014,170418.0,90596.0
2021-03-08,North Dakota,264172,172717.0,91455.0
2021-03-09,North Dakota,265835,173961.0,91874.0
2021-03-10,North Dakota,268686,175078.0,93608.0
2021-03-11,North Dakota,274877,178388.0,96489.0
2021-03-12,North Dakota,287001,186005.0,100996.0
2021-03-13,North Dakota,298949,192137.0,106812.0
2021-03-14,North Dakota,307504,197376.0,110128.0
2021-03-15,North Dakota,312205,198656.0,113549.0
2021-03-16,North Dakota,312325,198709.0,113616.0
2021-03-17,North Dakota,315467,200698.0,114769.0
