date,state,total doses,first dose,second dose
2021-01-12,Ohio,311867,311867.0,0.0
2021-01-13,Ohio,332683,329295.0,3388.0
2021-01-14,Ohio,345737,338961.0,6776.0
2021-01-15,Ohio,375370,361818.0,13552.0
2021-01-16,Ohio,399515,382566.5,16948.75
2021-01-17,Ohio,423660,403315.0,20345.5
2021-01-18,Ohio,447805,424063.5,23742.25
2021-01-19,Ohio,471951,444812.0,27139.0
2021-01-20,Ohio,487334,456424.0,30910.0
2021-01-21,Ohio,487334,456424.0,30910.0
2021-01-22,Ohio,545318,500557.0,44761.0
2021-01-23,Ohio,594697,535544.0,59153.0
2021-01-24,Ohio,646832,575488.0,71344.0
2021-01-25,Ohio,685328,608379.0,76949.0
2021-01-26,Ohio,707719,627390.0,80329.0
2021-01-27,Ohio,745909,657075.0,88834.0
2021-01-28,Ohio,789358,683323.0,106035.0
2021-01-29,Ohio,842471,716677.0,125794.0
2021-01-30,Ohio,910285,759337.0,150948.0
2021-01-31,Ohio,953227,789605.0,163622.0
2021-02-01,Ohio,1003765,824597.0,179168.0
2021-02-02,Ohio,1044243,854741.0,189502.0
2021-02-03,Ohio,1084414,883630.0,200784.0
2021-02-04,Ohio,1126942,908994.0,217948.0
2021-02-05,Ohio,1175972,936321.0,239651.0
2021-02-06,Ohio,1241065,975620.0,265445.0
2021-02-07,Ohio,1292444,1006750.0,285694.0
2021-02-08,Ohio,1344667,1038595.0,306072.0
2021-02-09,Ohio,1371976,1059251.0,312725.0
2021-02-10,Ohio,1404581,1077597.0,326984.0
2021-02-11,Ohio,1457067,1107677.0,349390.0
2021-02-12,Ohio,1538056,1162381.0,375675.0
2021-02-13,Ohio,1610436,1200949.0,409487.0
2021-02-14,Ohio,1688954,1241257.0,447697.0
2021-02-15,Ohio,1740386,1275118.5,465268.0
2021-02-16,Ohio,1791819,1308980.0,482839.0
2021-02-17,Ohio,1821885,1325650.0,496235.0
2021-02-18,Ohio,1857971,1343458.0,514513.0
2021-02-19,Ohio,1995942,1432292.0,563650.0
2021-02-20,Ohio,2062850,1460227.0,602623.0
2021-02-21,Ohio,2135921,1486509.0,649412.0
2021-02-22,Ohio,2184254,1498985.0,685269.0
2021-02-23,Ohio,2216275,1511089.0,705186.0
2021-02-24,Ohio,2274364,1535852.0,738512.0
2021-02-25,Ohio,2337373,1562236.0,775137.0
2021-02-26,Ohio,2398636,1593638.0,804998.0
2021-02-27,Ohio,2486634,1638626.0,848008.0
2021-02-28,Ohio,2583261,1686825.0,896436.0
2021-03-01,Ohio,2643318,1723002.0,920316.0
2021-03-02,Ohio,2703445,1755260.0,948185.0
2021-03-03,Ohio,2769263,1794044.0,975219.0
2021-03-04,Ohio,2828925,1829145.0,999780.0
2021-03-05,Ohio,2895624,1874115.0,1021509.0
2021-03-06,Ohio,3002896,1943411.0,1059485.0
2021-03-07,Ohio,3104902,2001222.0,1103680.0
2021-03-08,Ohio,3194101,2042646.0,1151455.0
2021-03-09,Ohio,3248525,2070097.0,1178428.0
2021-03-10,Ohio,3318867,2109012.0,1209855.0
2021-03-11,Ohio,3404037,2161650.0,1242387.0
2021-03-12,Ohio,3519829,2232778.0,1287051.0
2021-03-13,Ohio,3662167,2319341.0,1342826.0
2021-03-14,Ohio,3775778,2388057.0,1387721.0
2021-03-15,Ohio,3868609,2441898.0,1426711.0
2021-03-16,Ohio,3913157,2466334.0,1446823.0
2021-03-17,Ohio,3982452,2507736.0,1474716.0
