date,state,total doses,first dose,second dose
2021-01-12,Oklahoma,126508,109045.0,17463.0
2021-01-13,Oklahoma,141064,118786.0,22278.0
2021-01-14,Oklahoma,185632,160035.0,25597.5
2021-01-15,Oklahoma,202079,173162.0,28917.0
2021-01-16,Oklahoma,211710,182293.25,29417.5
2021-01-17,Oklahoma,221342,191424.5,29918.0
2021-01-18,Oklahoma,230974,200555.75,30418.5
2021-01-19,Oklahoma,240606,209687.0,30919.0
2021-01-20,Oklahoma,249998,217690.0,32308.0
2021-01-21,Oklahoma,265608,230902.0,34706.0
2021-01-22,Oklahoma,285389,247954.0,37435.0
2021-01-23,Oklahoma,302605,263315.0,39290.0
2021-01-24,Oklahoma,320572,279283.0,41289.0
2021-01-25,Oklahoma,324313,282679.0,41634.0
2021-01-26,Oklahoma,326613,284799.0,41814.0
2021-01-27,Oklahoma,342904,296308.0,46596.0
2021-01-28,Oklahoma,360923,308458.0,52465.0
2021-01-29,Oklahoma,384305,323625.0,60680.0
2021-01-30,Oklahoma,407892,339382.0,68510.0
2021-01-31,Oklahoma,435350,356891.0,78459.0
2021-02-01,Oklahoma,440901,360670.0,80231.0
2021-02-02,Oklahoma,442994,362529.0,80465.0
2021-02-03,Oklahoma,459616,372020.0,87596.0
2021-02-04,Oklahoma,481398,382044.0,99354.0
2021-02-05,Oklahoma,507521,393313.0,114208.0
2021-02-06,Oklahoma,537915,406359.0,131556.0
2021-02-07,Oklahoma,570222,424612.0,145610.0
2021-02-08,Oklahoma,582518,431499.0,151019.0
2021-02-09,Oklahoma,584665,432422.0,152243.0
2021-02-10,Oklahoma,602802,440614.0,162188.0
2021-02-11,Oklahoma,624675,452166.0,172509.0
2021-02-12,Oklahoma,636622,458056.0,178566.0
2021-02-13,Oklahoma,657051,468199.0,188852.0
2021-02-14,Oklahoma,678422,477378.0,201044.0
2021-02-15,Oklahoma,684536,480928.0,203608.5
2021-02-16,Oklahoma,690651,484478.0,206173.0
2021-02-17,Oklahoma,692468,485563.0,206905.0
2021-02-18,Oklahoma,696455,487252.0,209203.0
2021-02-19,Oklahoma,806581,565691.0,240890.0
2021-02-20,Oklahoma,823908,572876.0,251032.0
2021-02-21,Oklahoma,858838,584493.0,274345.0
2021-02-22,Oklahoma,879496,590545.0,288951.0
2021-02-23,Oklahoma,894770,596443.0,298327.0
2021-02-24,Oklahoma,923326,613865.0,309461.0
2021-02-25,Oklahoma,955037,630696.0,324341.0
2021-02-26,Oklahoma,993077,647372.0,345705.0
2021-02-27,Oklahoma,1033488,665948.0,367540.0
2021-02-28,Oklahoma,1081370,688342.0,393028.0
2021-03-01,Oklahoma,1104660,704200.0,400460.0
2021-03-02,Oklahoma,1109919,708140.0,401779.0
2021-03-03,Oklahoma,1132684,720959.0,411725.0
2021-03-04,Oklahoma,1165716,739525.0,426191.0
2021-03-05,Oklahoma,1196615,761033.0,435582.0
2021-03-06,Oklahoma,1229348,781746.0,447602.0
2021-03-07,Oklahoma,1261203,802893.0,458310.0
2021-03-08,Oklahoma,1283957,818496.0,465461.0
2021-03-09,Oklahoma,1290805,822520.0,468285.0
2021-03-10,Oklahoma,1318546,839508.0,479038.0
2021-03-11,Oklahoma,1349901,863480.0,486421.0
2021-03-12,Oklahoma,1384178,891158.0,493020.0
2021-03-13,Oklahoma,1423268,920680.0,502588.0
2021-03-14,Oklahoma,1455182,942162.0,513020.0
2021-03-15,Oklahoma,1473038,955816.0,517222.0
2021-03-16,Oklahoma,1478093,960142.0,517951.0
2021-03-17,Oklahoma,1509286,975627.0,533659.0
