date,state,total doses,first dose,second dose
2021-01-12,Pennsylvania,276879,266288.0,10591.0
2021-01-13,Pennsylvania,303989,285938.0,18051.0
2021-01-14,Pennsylvania,396317,353821.0,42496.0
2021-01-15,Pennsylvania,447668,380727.0,66941.0
2021-01-16,Pennsylvania,471717,401630.0,70087.25
2021-01-17,Pennsylvania,495766,422533.0,73233.5
2021-01-18,Pennsylvania,519815,443436.0,76379.75
2021-01-19,Pennsylvania,543865,464339.0,79526.0
2021-01-20,Pennsylvania,568081,482791.0,85290.0
2021-01-21,Pennsylvania,604786,508391.0,96395.0
2021-01-22,Pennsylvania,652123,539431.0,112692.0
2021-01-23,Pennsylvania,695077,572228.0,122849.0
2021-01-24,Pennsylvania,743267,611359.0,131908.0
2021-01-25,Pennsylvania,775465,639526.0,135939.0
2021-01-26,Pennsylvania,799015,657711.0,141304.0
2021-01-27,Pennsylvania,850529,693731.0,156798.0
2021-01-28,Pennsylvania,854915,695656.0,159259.0
2021-01-29,Pennsylvania,970692,777260.0,193432.0
2021-01-30,Pennsylvania,1029853,819889.0,209964.0
2021-01-31,Pennsylvania,1085510,862021.0,223489.0
2021-02-01,Pennsylvania,1131498,900237.0,231261.0
2021-02-02,Pennsylvania,1153230,916235.0,236995.0
2021-02-03,Pennsylvania,1155373,917497.0,237876.0
2021-02-04,Pennsylvania,1215842,958587.0,257255.0
2021-02-05,Pennsylvania,1268520,993076.0,275444.0
2021-02-06,Pennsylvania,1335136,1036395.0,298741.0
2021-02-07,Pennsylvania,1404036,1082700.0,321336.0
2021-02-08,Pennsylvania,1437533,1108626.0,328907.0
2021-02-09,Pennsylvania,1474333,1134099.0,340234.0
2021-02-10,Pennsylvania,1533694,1176825.0,356869.0
2021-02-11,Pennsylvania,1589637,1215755.0,373882.0
2021-02-12,Pennsylvania,1663825,1264215.0,399610.0
2021-02-13,Pennsylvania,1673164,1269266.0,403898.0
2021-02-14,Pennsylvania,1816735,1363250.0,453485.0
2021-02-15,Pennsylvania,1821882,1366621.0,455261.0
2021-02-16,Pennsylvania,1827029,1369992.0,457037.0
2021-02-17,Pennsylvania,1944004,1445138.0,498866.0
2021-02-18,Pennsylvania,1996431,1478146.0,518285.0
2021-02-19,Pennsylvania,2178359,1601176.0,577183.0
2021-02-20,Pennsylvania,2225018,1628681.0,596337.0
2021-02-21,Pennsylvania,2299725,1667727.0,631998.0
2021-02-22,Pennsylvania,2354485,1699811.0,654674.0
2021-02-23,Pennsylvania,2377686,1710379.0,667307.0
2021-02-24,Pennsylvania,2421374,1731971.0,689403.0
2021-02-25,Pennsylvania,2485164,1766202.0,718962.0
2021-02-26,Pennsylvania,2557509,1804661.0,752848.0
2021-02-27,Pennsylvania,2669299,1868724.0,800575.0
2021-02-28,Pennsylvania,2745288,1911844.0,833444.0
2021-03-01,Pennsylvania,2828011,1956197.0,871814.0
2021-03-02,Pennsylvania,2880501,1991624.0,888877.0
2021-03-03,Pennsylvania,2942790,2027725.0,915065.0
2021-03-04,Pennsylvania,3030385,2080306.0,950079.0
2021-03-05,Pennsylvania,3162852,2174827.0,988025.0
2021-03-06,Pennsylvania,3290512,2257020.0,1033492.0
2021-03-07,Pennsylvania,3313191,2274225.0,1038966.0
2021-03-08,Pennsylvania,3332345,2289199.0,1043146.0
2021-03-09,Pennsylvania,3519353,2401448.0,1117905.0
2021-03-10,Pennsylvania,3632234,2470284.0,1161950.0
2021-03-11,Pennsylvania,3734263,2530355.0,1203908.0
2021-03-12,Pennsylvania,3759706,2548224.0,1211482.0
2021-03-13,Pennsylvania,4093037,2751412.0,1341625.0
2021-03-14,Pennsylvania,4190724,2812196.0,1378528.0
2021-03-15,Pennsylvania,4284967,2862957.0,1422010.0
2021-03-16,Pennsylvania,4344438,2901757.0,1442681.0
2021-03-17,Pennsylvania,4551357,3012928.0,1538429.0
