date,state,total doses,first dose,second dose
2021-01-12,South Carolina,80996,77042.0,3954.0
2021-01-13,South Carolina,99797,87584.0,12213.0
2021-01-14,South Carolina,112076,96231.0,15845.0
2021-01-15,South Carolina,121199,101722.0,19477.0
2021-01-16,South Carolina,137347,115178.5,22168.5
2021-01-17,South Carolina,153495,128635.0,24860.0
2021-01-18,South Carolina,169643,142091.5,27551.5
2021-01-19,South Carolina,185791,155548.0,30243.0
2021-01-20,South Carolina,191197,160518.0,30679.0
2021-01-21,South Carolina,208183,173906.0,34277.0
2021-01-22,South Carolina,227353,189170.0,38183.0
2021-01-23,South Carolina,247475,206663.0,40812.0
2021-01-24,South Carolina,277067,233257.0,43810.0
2021-01-25,South Carolina,305578,258015.0,47563.0
2021-01-26,South Carolina,315419,267262.0,48157.0
2021-01-27,South Carolina,325160,275291.0,49869.0
2021-01-28,South Carolina,358073,302890.0,55183.0
2021-01-29,South Carolina,383169,322195.0,60974.0
2021-01-30,South Carolina,405830,339544.0,66286.0
2021-01-31,South Carolina,436016,361557.0,74459.0
2021-02-01,South Carolina,459174,379136.0,80038.0
2021-02-02,South Carolina,467111,385908.0,81203.0
2021-02-03,South Carolina,475595,391585.0,84010.0
2021-02-04,South Carolina,493749,403766.0,89983.0
2021-02-05,South Carolina,515004,418519.0,96485.0
2021-02-06,South Carolina,538511,435079.0,103432.0
2021-02-07,South Carolina,563700,450531.0,113169.0
2021-02-08,South Carolina,579717,460511.0,119206.0
2021-02-09,South Carolina,579717,460511.0,119206.0
2021-02-10,South Carolina,601947,475116.0,126831.0
2021-02-11,South Carolina,621066,487418.0,133648.0
2021-02-12,South Carolina,640811,500005.0,140806.0
2021-02-13,South Carolina,665170,512156.0,153014.0
2021-02-14,South Carolina,693340,525641.0,167699.0
2021-02-15,South Carolina,709772,534174.0,175598.0
2021-02-16,South Carolina,726204,542707.0,183497.0
2021-02-17,South Carolina,742843,551943.0,190900.0
2021-02-18,South Carolina,764702,562999.0,201703.0
2021-02-19,South Carolina,833179,610292.0,222887.0
2021-02-20,South Carolina,863169,625877.0,237292.0
2021-02-21,South Carolina,893190,638364.0,254826.0
2021-02-22,South Carolina,932877,660425.0,272452.0
2021-02-23,South Carolina,941629,665137.0,276492.0
2021-02-24,South Carolina,973592,687074.0,286518.0
2021-02-25,South Carolina,996931,696787.0,300144.0
2021-02-26,South Carolina,1023720,710435.0,313285.0
2021-02-27,South Carolina,1055723,725393.0,330330.0
2021-02-28,South Carolina,1083276,737658.0,345618.0
2021-03-01,South Carolina,1112580,755284.0,357296.0
2021-03-02,South Carolina,1119387,759604.0,359783.0
2021-03-03,South Carolina,1146357,768635.0,377722.0
2021-03-04,South Carolina,1196522,784515.0,412007.0
2021-03-05,South Carolina,1226058,800539.0,425519.0
2021-03-06,South Carolina,1278010,823824.0,454186.0
2021-03-07,South Carolina,1339420,851400.0,488020.0
2021-03-08,South Carolina,1372580,873292.0,499288.0
2021-03-09,South Carolina,1390714,885144.0,505570.0
2021-03-10,South Carolina,1418725,902545.0,516180.0
2021-03-11,South Carolina,1459628,928283.0,531345.0
2021-03-12,South Carolina,1495378,950186.0,545192.0
2021-03-13,South Carolina,1591848,1017396.0,574452.0
2021-03-14,South Carolina,1592311,1017665.0,574646.0
2021-03-15,South Carolina,1628115,1042042.0,586073.0
2021-03-16,South Carolina,1639022,1049599.0,589423.0
2021-03-17,South Carolina,1663673,1065987.0,597686.0
