date,state,total doses,first dose,second dose
2021-01-12,Tennessee,161649,143735.0,17914.0
2021-01-13,Tennessee,174919,150893.0,24026.0
2021-01-14,Tennessee,269856,238943.0,30913.0
2021-01-15,Tennessee,302712,264912.0,37800.0
2021-01-16,Tennessee,314815,274249.0,40566.75
2021-01-17,Tennessee,326919,283586.0,43333.5
2021-01-18,Tennessee,339023,292923.0,46100.25
2021-01-19,Tennessee,351127,302260.0,48867.0
2021-01-20,Tennessee,357831,305780.0,52051.0
2021-01-21,Tennessee,374897,313154.0,61743.0
2021-01-22,Tennessee,400705,324543.0,76162.0
2021-01-23,Tennessee,423199,335823.0,87376.0
2021-01-24,Tennessee,451026,354407.0,96619.0
2021-01-25,Tennessee,461609,361767.0,99842.0
2021-01-26,Tennessee,466892,365235.0,101657.0
2021-01-27,Tennessee,486470,374108.0,112362.0
2021-01-28,Tennessee,508798,385682.0,123116.0
2021-01-29,Tennessee,544542,400950.0,143592.0
2021-01-30,Tennessee,572652,416716.0,155936.0
2021-01-31,Tennessee,607592,438426.0,169166.0
2021-02-01,Tennessee,626225,447977.0,178248.0
2021-02-02,Tennessee,630179,450633.0,179546.0
2021-02-03,Tennessee,655974,463300.0,192674.0
2021-02-04,Tennessee,682203,477784.0,204419.0
2021-02-05,Tennessee,716221,500458.0,215763.0
2021-02-06,Tennessee,749819,521621.0,228198.0
2021-02-07,Tennessee,788332,543793.0,244539.0
2021-02-08,Tennessee,802927,554016.0,248911.0
2021-02-09,Tennessee,809237,558590.0,250647.0
2021-02-10,Tennessee,836404,577121.0,259283.0
2021-02-11,Tennessee,862901,595081.0,267820.0
2021-02-12,Tennessee,897990,618010.0,279980.0
2021-02-13,Tennessee,922999,634688.0,288311.0
2021-02-14,Tennessee,963112,659390.0,303722.0
2021-02-15,Tennessee,976021,667405.5,308616.0
2021-02-16,Tennessee,988931,675421.0,313510.0
2021-02-17,Tennessee,995411,680454.0,314957.0
2021-02-18,Tennessee,1010159,691486.0,318673.0
2021-02-19,Tennessee,1079246,740230.0,339016.0
2021-02-20,Tennessee,1093421,748756.0,344665.0
2021-02-21,Tennessee,1112578,757333.0,355245.0
2021-02-22,Tennessee,1113856,757200.0,356656.0
2021-02-23,Tennessee,1122435,761007.0,361428.0
2021-02-24,Tennessee,1158222,777850.0,380372.0
2021-02-25,Tennessee,1191589,794893.0,396696.0
2021-02-26,Tennessee,1237662,821513.0,416149.0
2021-02-27,Tennessee,1280504,845090.0,435414.0
2021-02-28,Tennessee,1337113,878954.0,458159.0
2021-03-01,Tennessee,1371728,903477.0,468251.0
2021-03-02,Tennessee,1382502,911906.0,470596.0
2021-03-03,Tennessee,1431116,943375.0,487741.0
2021-03-04,Tennessee,1467424,965429.0,501995.0
2021-03-05,Tennessee,1513916,990140.0,523776.0
2021-03-06,Tennessee,1553381,1015188.0,538193.0
2021-03-07,Tennessee,1606368,1041609.0,564759.0
2021-03-08,Tennessee,1631610,1058354.0,573256.0
2021-03-09,Tennessee,1640036,1064302.0,575734.0
2021-03-10,Tennessee,1683435,1091669.0,591766.0
2021-03-11,Tennessee,1730149,1123145.0,607004.0
2021-03-12,Tennessee,1785484,1161962.0,623522.0
2021-03-13,Tennessee,1841587,1201964.0,639623.0
2021-03-14,Tennessee,1897888,1238369.0,659519.0
2021-03-15,Tennessee,1930883,1260166.0,670717.0
2021-03-16,Tennessee,1940492,1265605.0,674887.0
2021-03-17,Tennessee,1987940,1300220.0,687720.0
