date,state,total doses,first dose,second dose
2021-01-12,Vermont,0,0.0,0.0
2021-01-13,Vermont,14326,13301.5,1025.0
2021-01-14,Vermont,28653,26603.0,2050.0
2021-01-15,Vermont,32455,28355.0,4100.0
2021-01-16,Vermont,34476,29873.0,4603.5
2021-01-17,Vermont,36498,31391.0,5107.0
2021-01-18,Vermont,38519,32909.0,5610.5
2021-01-19,Vermont,40541,34427.0,6114.0
2021-01-20,Vermont,40774,34607.0,6167.0
2021-01-21,Vermont,42778,36233.0,6545.0
2021-01-22,Vermont,46386,38432.0,7954.0
2021-01-23,Vermont,49361,40484.0,8877.0
2021-01-24,Vermont,51803,41950.0,9853.0
2021-01-25,Vermont,53551,43356.0,10195.0
2021-01-26,Vermont,54343,43994.0,10349.0
2021-01-27,Vermont,55304,44498.0,10806.0
2021-01-28,Vermont,58794,46376.0,12418.0
2021-01-29,Vermont,61653,47485.0,14168.0
2021-01-30,Vermont,63686,48473.0,15213.0
2021-01-31,Vermont,67062,50571.0,16491.0
2021-02-01,Vermont,72305,53967.0,18338.0
2021-02-02,Vermont,73897,54994.0,18903.0
2021-02-03,Vermont,74594,55357.0,19237.0
2021-02-04,Vermont,77064,56221.0,20843.0
2021-02-05,Vermont,79915,57432.0,22483.0
2021-02-06,Vermont,82849,58637.0,24212.0
2021-02-07,Vermont,87025,60863.0,26162.0
2021-02-08,Vermont,90168,63024.0,27144.0
2021-02-09,Vermont,92874,64864.0,28010.0
2021-02-10,Vermont,93699,65577.0,28122.0
2021-02-11,Vermont,96737,67024.0,29713.0
2021-02-12,Vermont,99862,68654.0,31208.0
2021-02-13,Vermont,102537,70351.0,32186.0
2021-02-14,Vermont,106600,73105.0,33495.0
2021-02-15,Vermont,110697,75563.5,35134.0
2021-02-16,Vermont,114795,78022.0,36773.0
2021-02-17,Vermont,115773,78816.0,36957.0
2021-02-18,Vermont,117987,79606.0,38381.0
2021-02-19,Vermont,127419,86590.0,40829.0
2021-02-20,Vermont,131910,88826.0,43084.0
2021-02-21,Vermont,136940,91923.0,45017.0
2021-02-22,Vermont,138048,92323.0,45725.0
2021-02-23,Vermont,140717,94054.0,46663.0
2021-02-24,Vermont,141743,94866.0,46877.0
2021-02-25,Vermont,144512,96318.0,48194.0
2021-02-26,Vermont,148118,98746.0,49372.0
2021-02-27,Vermont,153160,101529.0,51631.0
2021-02-28,Vermont,158722,104583.0,54139.0
2021-03-01,Vermont,164172,107238.0,56934.0
2021-03-02,Vermont,167661,109213.0,58448.0
2021-03-03,Vermont,169290,110313.0,58977.0
2021-03-04,Vermont,171828,111890.0,59938.0
2021-03-05,Vermont,175601,114893.0,60708.0
2021-03-06,Vermont,180253,118292.0,61961.0
2021-03-07,Vermont,187365,122891.0,64474.0
2021-03-08,Vermont,194459,126974.0,67485.0
2021-03-09,Vermont,199614,130466.0,69148.0
2021-03-10,Vermont,202739,132811.0,69928.0
2021-03-11,Vermont,207555,135916.0,71639.0
2021-03-12,Vermont,212804,139766.0,73038.0
2021-03-13,Vermont,226877,149120.0,77757.0
2021-03-14,Vermont,226927,149158.0,77769.0
2021-03-15,Vermont,234162,153973.0,80189.0
2021-03-16,Vermont,238955,156682.0,82273.0
2021-03-17,Vermont,242859,158711.0,84148.0
