date,state,total doses,first dose,second dose
2021-01-12,Veterans Health,226750,207449.0,19301.0
2021-01-13,Veterans Health,254373,227886.0,26487.0
2021-01-14,Veterans Health,284728,252993.0,31735.0
2021-01-15,Veterans Health,317444,280461.0,36983.0
2021-01-16,Veterans Health,342045,303441.25,38604.5
2021-01-17,Veterans Health,366647,326421.5,40226.0
2021-01-18,Veterans Health,391249,349401.75,41847.5
2021-01-19,Veterans Health,415851,372382.0,43469.0
2021-01-20,Veterans Health,432199,387870.0,44329.0
2021-01-21,Veterans Health,526734,463738.0,62996.0
2021-01-22,Veterans Health,579062,497096.0,81966.0
2021-01-23,Veterans Health,622952,529784.0,93168.0
2021-01-24,Veterans Health,663575,564247.0,99328.0
2021-01-25,Veterans Health,702081,600685.0,101396.0
2021-01-26,Veterans Health,702653,600904.0,101749.0
2021-01-27,Veterans Health,745369,626115.0,119254.0
2021-01-28,Veterans Health,791555,655236.0,136319.0
2021-01-29,Veterans Health,840665,688872.0,151793.0
2021-01-30,Veterans Health,887443,721252.0,166191.0
2021-01-31,Veterans Health,931375,754720.0,176655.0
2021-02-01,Veterans Health,962437,781179.0,181258.0
2021-02-02,Veterans Health,972462,789785.0,182677.0
2021-02-03,Veterans Health,1013009,813455.0,199554.0
2021-02-04,Veterans Health,1025163,816665.0,208498.0
2021-02-05,Veterans Health,1076954,847699.0,229255.0
2021-02-06,Veterans Health,1129712,876409.0,253303.0
2021-02-07,Veterans Health,1219170,927688.0,291482.0
2021-02-08,Veterans Health,1257825,952628.0,305197.0
2021-02-09,Veterans Health,1267420,958539.0,308881.0
2021-02-10,Veterans Health,1321683,988979.0,332704.0
2021-02-11,Veterans Health,1376192,1020271.0,355921.0
2021-02-12,Veterans Health,1438166,1056801.0,381365.0
2021-02-13,Veterans Health,1501467,1091919.0,409548.0
2021-02-14,Veterans Health,1599616,1146573.0,453043.0
2021-02-15,Veterans Health,1645549,1179250.0,466299.5
2021-02-16,Veterans Health,1691483,1211927.0,479556.0
2021-02-17,Veterans Health,1719071,1230159.0,488912.0
2021-02-18,Veterans Health,1772438,1251428.0,521010.0
2021-02-19,Veterans Health,1813798,1268720.0,545078.0
2021-02-20,Veterans Health,1861699,1289839.0,571860.0
2021-02-21,Veterans Health,1910010,1310255.0,599755.0
2021-02-22,Veterans Health,1955856,1328177.0,627679.0
2021-02-23,Veterans Health,2001515,1345116.0,656399.0
2021-02-24,Veterans Health,2034452,1358289.0,676163.0
2021-02-25,Veterans Health,2076277,1377608.0,698669.0
2021-02-26,Veterans Health,2116750,1397648.0,719102.0
2021-02-27,Veterans Health,2237211,1461294.0,775917.0
2021-02-28,Veterans Health,2302323,1497145.0,805178.0
2021-03-01,Veterans Health,2355091,1532520.0,822571.0
2021-03-02,Veterans Health,2371235,1540721.0,830514.0
2021-03-03,Veterans Health,2418804,1565132.0,853672.0
2021-03-04,Veterans Health,2474623,1595222.0,879401.0
2021-03-05,Veterans Health,2534369,1628955.0,905414.0
2021-03-06,Veterans Health,2595967,1665682.0,930285.0
2021-03-07,Veterans Health,2656796,1702139.0,954657.0
2021-03-08,Veterans Health,2715012,1733048.0,981964.0
2021-03-09,Veterans Health,2726545,1738461.0,988084.0
2021-03-10,Veterans Health,2784917,1769177.0,1015740.0
2021-03-11,Veterans Health,2856442,1804344.0,1052098.0
2021-03-12,Veterans Health,2932530,1843615.0,1088915.0
2021-03-13,Veterans Health,3088494,1916934.0,1171560.0
2021-03-14,Veterans Health,3088874,1917144.0,1171730.0
2021-03-15,Veterans Health,3176382,1946429.0,1229953.0
2021-03-16,Veterans Health,3191394,1950172.0,1241222.0
2021-03-17,Veterans Health,3243049,1975898.0,1267151.0
