date,state,total doses,first dose,second dose
2021-01-12,Virginia,0,0,0
2021-01-13,Virginia,103500,96459,7041
2021-01-14,Virginia,207000,192918,14082
2021-01-15,Virginia,242896,214732,28164
2021-01-16,Virginia,263517,233585,29932
2021-01-17,Virginia,284140,252439,31701
2021-01-18,Virginia,304762,271292,33470
2021-01-19,Virginia,325385,290146,35239
2021-01-20,Virginia,341839,304160,37679
2021-01-21,Virginia,360515,320175,40340
2021-01-22,Virginia,399812,353808,46004
2021-01-23,Virginia,425385,376378,49007
2021-01-24,Virginia,444297,393127,51170
2021-01-25,Virginia,475536,415684,59852
2021-01-26,Virginia,569683,497055,72628
2021-01-27,Virginia,603639,524196,79443
2021-01-28,Virginia,642554,552909,89645
2021-01-29,Virginia,698643,598853,99790
2021-01-30,Virginia,759255,648378,110877
2021-01-31,Virginia,806495,687883,118612
2021-02-01,Virginia,844046,718113,125933
2021-02-02,Virginia,874309,742017,132292
2021-02-03,Virginia,895865,757544,138321
2021-02-04,Virginia,921527,774590,146937
2021-02-05,Virginia,964863,805624,159239
2021-02-06,Virginia,1023338,842587,180751
2021-02-07,Virginia,1073957,875842,198115
2021-02-08,Virginia,1106153,897049,209104
2021-02-09,Virginia,1131837,912014,219823
2021-02-10,Virginia,1157194,925586,231608
2021-02-11,Virginia,1192966,945182,247784
2021-02-12,Virginia,1244305,971199,273106
2021-02-13,Virginia,1299640,993156,306484
2021-02-14,Virginia,1324531,1004422,320109
2021-02-15,Virginia,1362518,1025415,337103
2021-02-16,Virginia,1400505,1046408,354097
2021-02-17,Virginia,1429058,1060294,368764
2021-02-18,Virginia,1472614,1076555,396059
2021-02-19,Virginia,1614113,1154362,459751
2021-02-20,Virginia,1639739,1162487,477252
2021-02-21,Virginia,1673765,1172647,501118
2021-02-22,Virginia,1717041,1192485,524556
2021-02-23,Virginia,1747320,1206552,540768
2021-02-24,Virginia,1785114,1222818,562296
2021-02-25,Virginia,1830613,1239868,590745
2021-02-26,Virginia,1904320,1267905,636415
2021-02-27,Virginia,1985063,1316987,668076
2021-02-28,Virginia,2070105,1349077,721028
2021-03-01,Virginia,2121091,1379963,741128
2021-03-02,Virginia,2155535,1402684,752851
2021-03-03,Virginia,2205158,1431797,773361
2021-03-04,Virginia,2268392,1469462,798930
2021-03-05,Virginia,2326539,1503158,823381
2021-03-06,Virginia,2377838,1533362,844476
2021-03-07,Virginia,2431490,1567671,863819
2021-03-08,Virginia,2481219,1591745,889474
2021-03-09,Virginia,2560335,1642937,917398
2021-03-10,Virginia,2634064,1684219,949845
2021-03-11,Virginia,2716129,1730680,985449
2021-03-12,Virginia,2793267,1776967,1016300
2021-03-13,Virginia,2874870,1827363,1047507
2021-03-14,Virginia,2939048,1872241,1066807
2021-03-15,Virginia,3001778,1913741,1088037
2021-03-16,Virginia,3041563,1938252,1103311
2021-03-17,Virginia,3084195,1968155,1116040
2021-03-18,Virginia,3151171,2015460,1135711
2021-03-19,Virginia,3228097,2068249,1159848
2021-03-20,Virginia,3307206,2128858,1178348
2021-03-21,Virginia,3375984,2174085,1201899
2021-03-22,Virginia,3428761,2204874,1223887
2021-03-23,Virginia,3456667,2223428,1233239
2021-03-24,Virginia,3538165,2279224,1258941
2021-03-25,Virginia,3598956,2321609,1277347
2021-03-26,Virginia,3687244,2379184,1308060
2021-03-27,Virginia,3741448,2417271,1324177
2021-03-28,Virginia,3852477,2493161,1359316
2021-03-29,Virginia,3939970,2553135,1386835
2021-03-30,Virginia,4049459,2620816,1428643
2021-03-31,Virginia,4129295,2671921,1457374
2021-04-01,Virginia,4215338,2725247,1490091
2021-04-02,Virginia,4330606,2796842,1533764
2021-04-03,Virginia,4459810,2872684,1587126
2021-04-04,Virginia,4584125,2943103,1641022
2021-04-05,Virginia,4642305,2975428,1666877
2021-04-06,Virginia,4696910,3003013,1693897
2021-04-07,Virginia,4778310,3048195,1730115
2021-04-08,Virginia,4866391,3096648,1769743
2021-04-09,Virginia,4979196,3163043,1816153
2021-04-10,Virginia,5105152,3230909,1874243
2021-04-11,Virginia,5228430,3294755,1933675
