date,state,total doses,first dose,second dose
2021-01-12,Washington,179794,162105.0,17689.0
2021-01-13,Washington,192275,169650.0,22625.0
2021-01-14,Washington,214553,187450.0,27103.0
2021-01-15,Washington,232263,200682.0,31581.0
2021-01-16,Washington,251883,216888.25,34995.0
2021-01-17,Washington,271503,233094.5,38409.0
2021-01-18,Washington,291123,249300.75,41823.0
2021-01-19,Washington,310744,265507.0,45237.0
2021-01-20,Washington,336231,286500.0,49731.0
2021-01-21,Washington,362844,306942.0,55902.0
2021-01-22,Washington,392509,330357.0,62152.0
2021-01-23,Washington,426344,359217.0,67127.0
2021-01-24,Washington,438717,370231.0,68486.0
2021-01-25,Washington,478064,404326.0,73738.0
2021-01-26,Washington,496872,420728.0,76144.0
2021-01-27,Washington,523681,441895.0,81786.0
2021-01-28,Washington,560261,468528.0,91733.0
2021-01-29,Washington,595963,496008.0,99955.0
2021-01-30,Washington,632687,524466.0,108221.0
2021-01-31,Washington,672903,555505.0,117398.0
2021-02-01,Washington,709092,582420.0,126672.0
2021-02-02,Washington,730221,599313.0,130908.0
2021-02-03,Washington,754270,616340.0,137930.0
2021-02-04,Washington,785438,637940.0,147498.0
2021-02-05,Washington,815825,658508.0,157317.0
2021-02-06,Washington,855474,684484.0,170990.0
2021-02-07,Washington,892680,709023.0,183657.0
2021-02-08,Washington,925417,731739.0,193678.0
2021-02-09,Washington,938613,740234.0,198379.0
2021-02-10,Washington,996003,780179.0,215824.0
2021-02-11,Washington,1026947,797359.0,229588.0
2021-02-12,Washington,1067209,819728.0,247481.0
2021-02-13,Washington,1108058,844801.0,263257.0
2021-02-14,Washington,1152571,870853.0,281718.0
2021-02-15,Washington,1169846,880567.5,289279.0
2021-02-16,Washington,1187122,890282.0,296840.0
2021-02-17,Washington,1211620,898805.0,312815.0
2021-02-18,Washington,1241330,914138.0,327192.0
2021-02-19,Washington,1346939,982469.0,364470.0
2021-02-20,Washington,1391616,1001775.0,389841.0
2021-02-21,Washington,1428064,1016677.0,411387.0
2021-02-22,Washington,1467233,1030812.0,436421.0
2021-02-23,Washington,1481662,1036564.0,445098.0
2021-02-24,Washington,1502320,1045186.0,457134.0
2021-02-25,Washington,1550260,1063637.0,486623.0
2021-02-26,Washington,1597394,1081544.0,515850.0
2021-02-27,Washington,1654822,1105687.0,549135.0
2021-02-28,Washington,1717304,1134837.0,582467.0
2021-03-01,Washington,1787789,1166618.0,621171.0
2021-03-02,Washington,1828922,1186560.0,642362.0
2021-03-03,Washington,1875336,1210794.0,664542.0
2021-03-04,Washington,1929695,1243596.0,686099.0
2021-03-05,Washington,1987494,1276221.0,711273.0
2021-03-06,Washington,2057409,1321095.0,736314.0
2021-03-07,Washington,2129737,1367009.0,762728.0
2021-03-08,Washington,2199571,1411252.0,788319.0
2021-03-09,Washington,2241593,1437268.0,804325.0
2021-03-10,Washington,2289610,1469986.0,819624.0
2021-03-11,Washington,2370106,1515461.0,854645.0
2021-03-12,Washington,2433898,1555378.0,878520.0
2021-03-13,Washington,2499246,1597377.0,901869.0
2021-03-14,Washington,2564887,1638176.0,926711.0
2021-03-15,Washington,2641019,1686163.0,954856.0
2021-03-16,Washington,2689858,1714661.0,975197.0
2021-03-17,Washington,2731128,1742242.0,988886.0
