date,state,total doses,first dose,second dose
2021-01-12,West Virginia,0,0.0,0.0
2021-01-13,West Virginia,54821,49530.5,5290.5
2021-01-14,West Virginia,109642,99061.0,10581.0
2021-01-15,West Virginia,134196,113034.0,21162.0
2021-01-16,West Virginia,138808,117006.25,21802.25
2021-01-17,West Virginia,143421,120978.5,22442.5
2021-01-18,West Virginia,148033,124950.75,23082.75
2021-01-19,West Virginia,152646,128923.0,23723.0
2021-01-20,West Virginia,158610,132929.0,25681.0
2021-01-21,West Virginia,167537,135950.0,31587.0
2021-01-22,West Virginia,180751,145361.0,35390.0
2021-01-23,West Virginia,194833,156854.0,37979.0
2021-01-24,West Virginia,202872,163801.0,39071.0
2021-01-25,West Virginia,203981,164528.0,39453.0
2021-01-26,West Virginia,210481,167660.0,42821.0
2021-01-27,West Virginia,214915,169671.0,45244.0
2021-01-28,West Virginia,224593,173750.0,50843.0
2021-01-29,West Virginia,239952,181839.0,58113.0
2021-01-30,West Virginia,256390,191225.0,65165.0
2021-01-31,West Virginia,259763,192580.0,67183.0
2021-02-01,West Virginia,260314,192951.0,67363.0
2021-02-02,West Virginia,264194,194301.0,69893.0
2021-02-03,West Virginia,267656,195200.0,72456.0
2021-02-04,West Virginia,276344,197939.0,78405.0
2021-02-05,West Virginia,291410,203731.0,87679.0
2021-02-06,West Virginia,314460,214301.0,100159.0
2021-02-07,West Virginia,321636,217613.0,104023.0
2021-02-08,West Virginia,322977,218266.0,104711.0
2021-02-09,West Virginia,327402,219723.0,107679.0
2021-02-10,West Virginia,332565,222233.0,110332.0
2021-02-11,West Virginia,340768,226323.0,114445.0
2021-02-12,West Virginia,351415,230596.0,120819.0
2021-02-13,West Virginia,376101,242233.0,133868.0
2021-02-14,West Virginia,386571,247689.0,138882.0
2021-02-15,West Virginia,390101,249251.5,140849.5
2021-02-16,West Virginia,393631,250814.0,142817.0
2021-02-17,West Virginia,395997,251627.0,144370.0
2021-02-18,West Virginia,403520,254778.0,148742.0
2021-02-19,West Virginia,440584,279255.0,161329.0
2021-02-20,West Virginia,458057,288262.0,169795.0
2021-02-21,West Virginia,463479,290411.0,173068.0
2021-02-22,West Virginia,456152,286014.0,170138.0
2021-02-23,West Virginia,461050,288630.0,172420.0
2021-02-24,West Virginia,464720,290180.0,174540.0
2021-02-25,West Virginia,475787,294794.0,180993.0
2021-02-26,West Virginia,492215,302863.0,189352.0
2021-02-27,West Virginia,515648,314571.0,201077.0
2021-02-28,West Virginia,522110,317008.0,205102.0
2021-03-01,West Virginia,524347,318168.0,206179.0
2021-03-02,West Virginia,526942,319813.0,207129.0
2021-03-03,West Virginia,531912,322461.0,209451.0
2021-03-04,West Virginia,543940,330737.0,213203.0
2021-03-05,West Virginia,565111,345274.0,219837.0
2021-03-06,West Virginia,584898,358305.0,226593.0
2021-03-07,West Virginia,592475,363429.0,229046.0
2021-03-08,West Virginia,594108,363952.0,230156.0
2021-03-09,West Virginia,598296,367001.0,231295.0
2021-03-10,West Virginia,603107,370361.0,232746.0
2021-03-11,West Virginia,618296,379579.0,238717.0
2021-03-12,West Virginia,644470,397640.0,246830.0
2021-03-13,West Virginia,672441,414266.0,258175.0
2021-03-14,West Virginia,677824,417836.0,259988.0
2021-03-15,West Virginia,679921,418889.0,261032.0
2021-03-16,West Virginia,683703,421226.0,262477.0
2021-03-17,West Virginia,689560,426168.0,263392.0
