date,state,total doses,first dose,second dose
2021-01-12,Wisconsin,137238,125895.0,11343.0
2021-01-13,Wisconsin,137238,125895.0,11343.0
2021-01-14,Wisconsin,150066,135841.0,14225.5
2021-01-15,Wisconsin,168495,151387.0,17108.0
2021-01-16,Wisconsin,179317,160576.25,18741.25
2021-01-17,Wisconsin,190140,169765.5,20374.5
2021-01-18,Wisconsin,200962,178954.75,22007.75
2021-01-19,Wisconsin,211785,188144.0,23641.0
2021-01-20,Wisconsin,220773,193461.0,27312.0
2021-01-21,Wisconsin,237014,204746.0,32268.0
2021-01-22,Wisconsin,258968,221067.0,37901.0
2021-01-23,Wisconsin,283741,241512.0,42229.0
2021-01-24,Wisconsin,306305,260664.0,45641.0
2021-01-25,Wisconsin,313890,266481.0,47409.0
2021-01-26,Wisconsin,316108,268091.0,48017.0
2021-01-27,Wisconsin,333498,281166.0,52332.0
2021-01-28,Wisconsin,359847,302339.0,57508.0
2021-01-29,Wisconsin,404650,339296.0,65354.0
2021-01-30,Wisconsin,447907,375931.0,71976.0
2021-01-31,Wisconsin,488516,409614.0,78902.0
2021-02-01,Wisconsin,510706,429609.0,81097.0
2021-02-02,Wisconsin,518979,437456.0,81523.0
2021-02-03,Wisconsin,542598,457768.0,84830.0
2021-02-04,Wisconsin,543319,458321.0,84998.0
2021-02-05,Wisconsin,588792,491942.0,96850.0
2021-02-06,Wisconsin,631637,521331.0,110306.0
2021-02-07,Wisconsin,734640,581413.0,153227.0
2021-02-08,Wisconsin,755072,595912.0,159160.0
2021-02-09,Wisconsin,760895,600268.0,160627.0
2021-02-10,Wisconsin,787740,619711.0,168029.0
2021-02-11,Wisconsin,816731,640058.0,176673.0
2021-02-12,Wisconsin,854412,664353.0,190059.0
2021-02-13,Wisconsin,905675,689583.0,216092.0
2021-02-14,Wisconsin,944617,709908.0,234709.0
2021-02-15,Wisconsin,962482,723386.0,239096.0
2021-02-16,Wisconsin,980347,736864.0,243483.0
2021-02-17,Wisconsin,1000914,748247.0,252667.0
2021-02-18,Wisconsin,1028280,762117.0,266163.0
2021-02-19,Wisconsin,1125297,818760.0,306537.0
2021-02-20,Wisconsin,1176131,841506.0,334625.0
2021-02-21,Wisconsin,1217545,858185.0,359360.0
2021-02-22,Wisconsin,1243351,869308.0,374043.0
2021-02-23,Wisconsin,1250662,872043.0,378619.0
2021-02-24,Wisconsin,1273097,880148.0,392949.0
2021-02-25,Wisconsin,1303834,891185.0,412649.0
2021-02-26,Wisconsin,1348924,909389.0,439535.0
2021-02-27,Wisconsin,1410274,937388.0,472886.0
2021-02-28,Wisconsin,1458675,958333.0,500342.0
2021-03-01,Wisconsin,1488837,971107.0,517730.0
2021-03-02,Wisconsin,1509330,984053.0,525277.0
2021-03-03,Wisconsin,1540762,1001656.0,539106.0
2021-03-04,Wisconsin,1583296,1024560.0,558736.0
2021-03-05,Wisconsin,1642877,1059657.0,583220.0
2021-03-06,Wisconsin,1706688,1098730.0,607958.0
2021-03-07,Wisconsin,1755329,1128307.0,627022.0
2021-03-08,Wisconsin,1790084,1150440.0,639644.0
2021-03-09,Wisconsin,1797542,1155268.0,642274.0
2021-03-10,Wisconsin,1824660,1171932.0,652728.0
2021-03-11,Wisconsin,1868097,1199903.0,668194.0
2021-03-12,Wisconsin,1932389,1240451.0,691938.0
2021-03-13,Wisconsin,2061186,1323842.0,737344.0
2021-03-14,Wisconsin,2062479,1324859.0,737620.0
2021-03-15,Wisconsin,2100259,1346547.0,753712.0
2021-03-16,Wisconsin,2125113,1356659.0,768454.0
2021-03-17,Wisconsin,2155477,1373417.0,782060.0
