date,state,total doses,first dose,second dose
2021-01-12,Wyoming,15693,13577.0,2116.0
2021-01-13,Wyoming,16965,14406.0,2559.0
2021-01-14,Wyoming,19991,17310.0,2681.0
2021-01-15,Wyoming,22734,19931.0,2803.0
2021-01-16,Wyoming,24058,21145.25,2912.75
2021-01-17,Wyoming,25382,22359.5,3022.5
2021-01-18,Wyoming,26706,23573.75,3132.25
2021-01-19,Wyoming,28030,24788.0,3242.0
2021-01-20,Wyoming,29282,25841.0,3441.0
2021-01-21,Wyoming,29282,25841.0,3441.0
2021-01-22,Wyoming,34508,29993.0,4515.0
2021-01-23,Wyoming,37519,32746.0,4773.0
2021-01-24,Wyoming,40763,35868.0,4895.0
2021-01-25,Wyoming,41115,36215.0,4900.0
2021-01-26,Wyoming,41298,36398.0,4900.0
2021-01-27,Wyoming,43382,37963.0,5419.0
2021-01-28,Wyoming,43382,37963.0,5419.0
2021-01-29,Wyoming,49115,41441.0,7674.0
2021-01-30,Wyoming,49115,41441.0,7674.0
2021-01-31,Wyoming,56960,47639.0,9321.0
2021-02-01,Wyoming,57806,48155.0,9651.0
2021-02-02,Wyoming,58103,48255.0,9848.0
2021-02-03,Wyoming,59856,49361.0,10495.0
2021-02-04,Wyoming,59856,49361.0,10495.0
2021-02-05,Wyoming,66482,53630.0,12852.0
2021-02-06,Wyoming,70911,56076.0,14835.0
2021-02-07,Wyoming,70911,56076.0,14835.0
2021-02-08,Wyoming,75504,58775.0,16729.0
2021-02-09,Wyoming,75504,58775.0,16729.0
2021-02-10,Wyoming,79350,61170.0,18180.0
2021-02-11,Wyoming,79350,61170.0,18180.0
2021-02-12,Wyoming,88889,65857.0,23032.0
2021-02-13,Wyoming,88889,65857.0,23032.0
2021-02-14,Wyoming,98785,71653.0,27132.0
2021-02-15,Wyoming,99327,71996.0,27331.5
2021-02-16,Wyoming,99870,72339.0,27531.0
2021-02-17,Wyoming,99870,72339.0,27531.0
2021-02-18,Wyoming,105093,74983.0,30110.0
2021-02-19,Wyoming,123940,87289.0,36651.0
2021-02-20,Wyoming,128669,89346.0,39323.0
2021-02-21,Wyoming,129079,89605.0,39474.0
2021-02-22,Wyoming,133532,90847.0,42685.0
2021-02-23,Wyoming,134059,91063.0,42996.0
2021-02-24,Wyoming,134326,91162.0,43164.0
2021-02-25,Wyoming,139460,93220.0,46240.0
2021-02-26,Wyoming,143473,95024.0,48449.0
2021-02-27,Wyoming,149390,97414.0,51976.0
2021-02-28,Wyoming,154217,99849.0,54368.0
2021-03-01,Wyoming,154398,99880.0,54518.0
2021-03-02,Wyoming,154478,99916.0,54562.0
2021-03-03,Wyoming,160491,103398.0,57093.0
2021-03-04,Wyoming,160746,103497.0,57249.0
2021-03-05,Wyoming,164140,104955.0,59185.0
2021-03-06,Wyoming,174786,110594.0,64192.0
2021-03-07,Wyoming,175470,110971.0,64499.0
2021-03-08,Wyoming,183043,114824.0,68219.0
2021-03-09,Wyoming,183335,115046.0,68289.0
2021-03-10,Wyoming,187718,116799.0,70919.0
2021-03-11,Wyoming,188163,116948.0,71215.0
2021-03-12,Wyoming,196849,121792.0,75057.0
2021-03-13,Wyoming,203880,125878.0,78002.0
2021-03-14,Wyoming,209778,129196.0,80582.0
2021-03-15,Wyoming,210408,129287.0,81121.0
2021-03-16,Wyoming,211829,130020.0,81809.0
2021-03-17,Wyoming,211955,130099.0,81856.0
